sentence,adjectives,transparency,polarity,negation,gender,gpt2_large_surprisal,xlnet_large_cased_surprisal,bert_large_cased_surprisal,roberta_large_surprisal
"She is old, and he is young too.",old-young,n,pm,n,fm,0.0;-3.225691318511963;-9.933341979980469;-1.6895580291748047;-4.948944568634033;-1.150282859802246;-0.7354955673217773;-6.29500675201416;-1.0519428253173828,0.0;-11.617210388183594;-17.73565673828125;-2.672466278076172;-7.243744850158691;-11.611820220947266;-8.246828079223633;-12.489795684814453;-8.180257797241211,-0.3912544250488281;-0.03164100646972656;-4.695551872253418;-0.6339378356933594;-0.49565696716308594;-0.019794464111328125;-5.627645492553711;-1.0093002319335938;-0.028293609619140625,-4.9839324951171875;-0.093658447265625;-6.229412078857422;-1.4682846069335938;-3.0475311279296875;-0.17995452880859375;-6.214321136474609;-4.007961273193359;-0.05611419677734375
"She is young, and he is old too.",old-young,n,mp,n,fm,0.0;-3.225691318511963;-7.9548869132995605;-2.158721923828125;-5.245845794677734;-1.1291627883911133;-0.8932905197143555;-7.620235443115234;-1.0037870407104492,0.0;-11.249799728393555;-15.052850723266602;-2.693056106567383;-7.33458948135376;-9.802242279052734;-9.765417098999023;-7.854835510253906;-9.638072967529297,-0.2590808868408203;-0.06060218811035156;-5.572954177856445;-0.5820236206054688;-0.44289112091064453;-0.0247650146484375;-3.473782539367676;-1.136744499206543;-0.029964447021484375,-6.050849914550781;-0.091033935546875;-5.335353851318359;-1.7033843994140625;-5.7234344482421875;-0.13724517822265625;-5.4382171630859375;-3.515491485595703;-0.05185699462890625
"She is not old, and he is old too.",old-young,n,pp,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-9.08555269241333;-2.2559738159179688;-5.393597602844238;-1.083939552307129;-5.086525917053223;-4.952182769775391;-1.0615806579589844,0.0;-5.868518829345703;-3.1860313415527344;-11.157363891601562;-3.2007369995117188;-4.5750274658203125;-6.478794097900391;-9.825946807861328;-5.746700286865234;-5.144569396972656,-0.811436653137207;-0.03489112854003906;-4.850033760070801;-1.0509605407714844;-0.9631948471069336;-0.9488706588745117;-0.034714698791503906;-0.6754388809204102;-2.3199806213378906;-0.036006927490234375,-1.021453857421875;-0.128753662109375;-6.490814208984375;-3.6344223022460938;-1.4502029418945312;-1.247528076171875;-0.23963165283203125;-1.1963233947753906;-1.9989013671875;-0.08477020263671875
"She is not young, and he is young too.",old-young,n,mm,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-9.245052814483643;-1.9205036163330078;-5.655574321746826;-1.0523948669433594;-5.136019706726074;-4.189030170440674;-0.8651313781738281,0.0;-6.502361297607422;-4.148031234741211;-8.597490310668945;-3.21453857421875;-5.013769149780273;-7.322032928466797;-9.437347412109375;-7.954351425170898;-4.603445053100586,-0.5733699798583984;-0.024858474731445312;-5.346721649169922;-1.0196399688720703;-1.2203664779663086;-0.7285776138305664;-0.05936431884765625;-0.8249034881591797;-0.9311037063598633;-0.03635215759277344,-0.5677261352539062;-0.11556243896484375;-7.405834197998047;-2.687419891357422;-0.9295654296875;-0.7653884887695312;-0.48462677001953125;-3.1565208435058594;-3.590972900390625;-0.056121826171875
"She is not old, and he is young too.",old-young,n,pm,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-9.08555269241333;-2.2559738159179688;-5.393597602844238;-1.083939552307129;-3.6879348754882812;-5.296612739562988;-0.9711627960205078,0.0;-7.011859893798828;-3.725992202758789;-11.332046508789062;-2.618377685546875;-6.195058822631836;-8.542591094970703;-8.369195938110352;-7.2056121826171875;-8.15774917602539,-0.8792314529418945;-0.016216278076171875;-4.072968482971191;-2.825566291809082;-0.9628505706787109;-1.0305671691894531;-0.04739952087402344;-2.0726308822631836;-1.6086063385009766;-0.030622482299804688,-6.161598205566406;-0.14288330078125;-1.4035453796386719;-1.4590835571289062;-0.194000244140625;-6.830528259277344;-0.21758270263671875;-1.7879295349121094;-1.3542900085449219;-0.0694122314453125
"She is not young, and he is old too.",old-young,n,mp,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-9.245052814483643;-1.9205036163330078;-5.655574321746826;-1.0523948669433594;-4.396782875061035;-6.852072715759277;-0.9055633544921875,0.0;-6.786579132080078;-4.563814163208008;-9.707691192626953;-2.811870574951172;-5.393747329711914;-7.754905700683594;-9.158958435058594;-6.276853561401367;-8.294132232666016,-0.8232555389404297;-0.027891159057617188;-4.813570022583008;-2.68416690826416;-0.947260856628418;-1.116816520690918;-0.05590629577636719;-1.6515426635742188;-1.8098020553588867;-0.033721923828125,-5.733470916748047;-0.12950897216796875;-3.091644287109375;-1.6201400756835938;-0.32049560546875;-6.802207946777344;-0.16754150390625;-0.4588470458984375;-1.40887451171875;-0.05919647216796875
"He is quiet, and she is quiet too.",quiet-restless,n,pp,n,mf,0.0;-3.1556758880615234;-9.440102577209473;-2.745452880859375;-6.310230255126953;-1.7043075561523438;-2.461210250854492;-2.7753734588623047;-0.8244915008544922,0.0;-8.620079040527344;-12.380653381347656;-3.090442657470703;-5.543651580810547;-6.195709228515625;-9.500083923339844;-6.431221008300781;-6.228172302246094,-0.6170768737792969;-0.04341697692871094;-0.2876300811767578;-0.30896949768066406;-0.7550239562988281;-0.012544631958007812;-0.1526031494140625;-0.7809267044067383;-0.013017654418945312,-0.12261962890625;-0.1066741943359375;-0.1051177978515625;-0.31827545166015625;-0.3399200439453125;-0.11827850341796875;-0.2873077392578125;-0.11397552490234375;-0.02886199951171875
"He is restless, and she is restless too.",quiet-restless,n,mm,n,mf,0.0;-3.1556758880615234;-12.379355430603027;-1.792562484741211;-6.4025983810424805;-1.4445037841796875;-1.9633779525756836;-2.6289215087890625;-0.9386262893676758,0.0;-10.947723388671875;-17.9722957611084;-4.854072570800781;-6.201118469238281;-7.1093597412109375;-16.49176597595215;-5.064907073974609;-7.811481475830078,-0.31247901916503906;-0.156036376953125;-0.23310565948486328;-0.22736454010009766;-0.8160810470581055;-0.04186058044433594;-0.6950368881225586;-0.10223674774169922;-0.0181732177734375,-0.05962371826171875;-0.1045074462890625;-0.08705902099609375;-0.2780914306640625;-0.2222747802734375;-0.13845062255859375;-0.9736251831054688;-0.13852691650390625;-0.03551483154296875
"He is quiet, and she is restless too.",quiet-restless,n,pm,n,mf,0.0;-3.1556758880615234;-9.440102577209473;-2.745452880859375;-6.310230255126953;-1.7043075561523438;-6.660253047943115;-6.813808441162109;-0.8422775268554688,0.0;-11.029800415039062;-11.926973342895508;-3.2296314239501953;-8.46299934387207;-8.426963806152344;-13.146607398986816;-5.930149078369141;-5.633478164672852,-0.962977409362793;-0.0966949462890625;-7.389321327209473;-0.4110450744628906;-1.2135648727416992;-0.2659034729003906;-8.671735763549805;-0.8645296096801758;-0.01030731201171875,-5.073238372802734;-0.20214080810546875;-8.937793731689453;-1.7064437866210938;-6.921897888183594;-0.2529144287109375;-12.452449798583984;-1.5215950012207031;-0.03026580810546875
"He is restless, and she is quiet too.",quiet-restless,n,mp,n,mf,0.0;-3.1556758880615234;-12.379355430603027;-1.792562484741211;-6.4025983810424805;-1.4445037841796875;-5.686550140380859;-6.244090557098389;-0.9596281051635742,0.0;-6.418022155761719;-14.992300033569336;-5.596405029296875;-10.060871124267578;-8.997188568115234;-11.195449829101562;-7.114259719848633;-6.031930923461914,-0.22776031494140625;-0.2274932861328125;-9.892199516296387;-0.4685811996459961;-0.9818925857543945;-0.05084037780761719;-7.590563774108887;-1.6573772430419922;-0.01207733154296875,-5.491237640380859;-0.19910430908203125;-11.217605590820312;-1.2171173095703125;-5.727836608886719;-0.1865234375;-9.06374740600586;-1.52618408203125;-0.03049468994140625
"He is not quiet, and she is quiet too.",quiet-restless,n,pp,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-10.306153297424316;-2.0278520584106445;-5.762549877166748;-1.5839691162109375;-4.265359878540039;-2.8255367279052734;-0.8723649978637695,0.0;-7.4557342529296875;-4.7306108474731445;-10.220993041992188;-3.1320037841796875;-6.724582672119141;-5.642078399658203;-8.841201782226562;-10.178653717041016;-4.669656753540039,-0.6735820770263672;-0.0062007904052734375;-5.069936752319336;-2.064851760864258;-0.5067071914672852;-0.9716396331787109;-0.020865440368652344;-0.4618663787841797;-1.1727380752563477;-0.0200347900390625,-0.507171630859375;-0.098052978515625;-6.091091156005859;-4.411525726318359;-0.8215484619140625;-0.76531982421875;-0.4659423828125;-2.0406646728515625;-3.160114288330078;-0.060089111328125
"He is not restless, and she is restless too.",quiet-restless,n,mm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-15.231026649475098;-1.940469741821289;-7.216070652008057;-1.3897438049316406;-5.730142593383789;-3.784669876098633;-0.9552249908447266,0.0;-6.756862640380859;-3.610654830932617;-14.746501922607422;-3.191394805908203;-6.746000289916992;-5.574413299560547;-13.040983200073242;-9.238096237182617;-5.258579254150391,-0.4210700988769531;-0.032684326171875;-5.7144670486450195;-5.4618072509765625;-0.7768516540527344;-1.0857715606689453;-0.0819711685180664;-3.1842918395996094;-0.8381872177124023;-0.02618408203125,-0.286224365234375;-0.116943359375;-5.582099914550781;-7.2505035400390625;-1.6641693115234375;-0.7570037841796875;-0.2217254638671875;-4.05108642578125;-1.3780441284179688;-0.05141448974609375
"He is not quiet, and she is restless too.",quiet-restless,n,pm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-10.306153297424316;-2.0278520584106445;-5.762549877166748;-1.5839691162109375;-7.530200004577637;-5.83411169052124;-0.8368587493896484,0.0;-7.795795440673828;-4.819470405578613;-11.121438980102539;-3.1962852478027344;-7.006736755371094;-9.089378356933594;-12.731758117675781;-5.291009902954102;-6.8394317626953125,-2.949221611022949;-0.00597381591796875;-4.339449882507324;-5.854692459106445;-0.506007194519043;-3.0510988235473633;-0.2173318862915039;-6.4749555587768555;-0.9335718154907227;-0.012989044189453125,-5.599590301513672;-0.2021026611328125;-1.3861465454101562;-4.555438995361328;-0.3603363037109375;-7.286590576171875;-0.21234130859375;-8.074760437011719;-0.4522514343261719;-0.0495147705078125
"He is not restless, and she is quiet too.",quiet-restless,n,mp,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-15.231026649475098;-1.940469741821289;-7.216070652008057;-1.3897438049316406;-5.876802921295166;-6.139636516571045;-0.8955926895141602,0.0;-8.00204086303711;-4.815101623535156;-13.810389518737793;-2.9389877319335938;-8.156081199645996;-6.908687591552734;-6.798223495483398;-6.497880935668945;-6.290065765380859,-1.1410560607910156;-0.011301040649414062;-3.5195369720458984;-8.687019348144531;-0.5032052993774414;-1.9379730224609375;-0.06947708129882812;-4.4820966720581055;-2.0790653228759766;-0.016550064086914062,-5.392070770263672;-0.21404266357421875;-1.7444534301757812;-7.77374267578125;-0.2282562255859375;-7.516670227050781;-0.159454345703125;-3.414600372314453;-0.2862586975097656;-0.0270843505859375
"She is quiet, and he is quiet too.",quiet-restless,n,pp,n,fm,0.0;-3.225691318511963;-9.219850540161133;-2.4745283126831055;-5.759376525878906;-1.9560832977294922;-3.2915592193603516;-3.156243324279785;-0.7919149398803711,0.0;-8.085853576660156;-9.98311996459961;-3.063579559326172;-5.7844390869140625;-7.868633270263672;-9.595890045166016;-5.165836334228516;-6.751031875610352,-0.6092462539672852;-0.06071662902832031;-0.2980775833129883;-0.32708740234375;-0.7019844055175781;-0.012481689453125;-0.1606311798095703;-1.016672134399414;-0.012987136840820312,-0.1297149658203125;-0.08271026611328125;-0.1196136474609375;-0.28497314453125;-0.41078948974609375;-0.12615203857421875;-0.2810211181640625;-0.11753082275390625;-0.02719879150390625
"She is restless, and he is restless too.",quiet-restless,n,mm,n,fm,0.0;-3.225691318511963;-12.165390968322754;-1.8715744018554688;-5.21941614151001;-1.7783269882202148;-2.2538957595825195;-2.535829544067383;-0.8320064544677734,0.0;-7.221466064453125;-13.242988586425781;-2.988292694091797;-6.053295135498047;-8.709888458251953;-14.171146392822266;-4.252674102783203;-8.342607498168945,-0.3941316604614258;-0.1653156280517578;-0.24509811401367188;-0.20063114166259766;-0.6442337036132812;-0.03907966613769531;-0.5876007080078125;-0.1061544418334961;-0.018491744995117188,-0.07140350341796875;-0.08266448974609375;-0.082122802734375;-0.310455322265625;-0.1726226806640625;-0.1636505126953125;-0.8956756591796875;-0.14104461669921875;-0.02881622314453125
"She is quiet, and he is restless too.",quiet-restless,n,pm,n,fm,0.0;-3.225691318511963;-9.219850540161133;-2.4745283126831055;-5.759376525878906;-1.9560832977294922;-6.693214416503906;-6.917532920837402;-0.7876596450805664,0.0;-8.023326873779297;-11.069145202636719;-3.2062110900878906;-7.572786331176758;-9.227664947509766;-11.388787269592285;-5.856975555419922;-5.425594329833984,-1.2286834716796875;-0.1231842041015625;-7.435378074645996;-0.4114418029785156;-0.9486417770385742;-0.24202537536621094;-8.490275382995605;-1.0362567901611328;-0.011461257934570312,-5.980140686035156;-0.1632232666015625;-9.128364562988281;-2.046905517578125;-6.6411590576171875;-0.284027099609375;-12.453182220458984;-1.8437004089355469;-0.0284423828125
"She is restless, and he is quiet too.",quiet-restless,n,mp,n,fm,0.0;-3.225691318511963;-12.165390968322754;-1.8715744018554688;-5.21941614151001;-1.7783269882202148;-5.973641395568848;-5.569661617279053;-0.8520469665527344,0.0;-8.467338562011719;-16.93744468688965;-3.455291748046875;-8.95632553100586;-10.984771728515625;-9.3441162109375;-6.728921890258789;-8.037799835205078,-0.2585468292236328;-0.2733306884765625;-9.49366283416748;-0.40271568298339844;-0.6284275054931641;-0.045497894287109375;-7.744152069091797;-2.472966194152832;-0.012332916259765625,-6.217430114746094;-0.1419525146484375;-11.60042953491211;-1.30523681640625;-5.682533264160156;-0.21490478515625;-9.614238739013672;-1.2934913635253906;-0.0265960693359375
"She is not quiet, and he is quiet too.",quiet-restless,n,pp,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-10.387897491455078;-1.9429941177368164;-5.458634376525879;-1.896371841430664;-5.145915508270264;-2.9391050338745117;-0.8102207183837891,0.0;-6.783817291259766;-4.223752021789551;-9.83144760131836;-3.277667999267578;-4.505094528198242;-6.585468292236328;-8.714275360107422;-10.272594451904297;-5.184328079223633,-0.7319211959838867;-0.006244659423828125;-5.035923004150391;-1.9386186599731445;-0.5800962448120117;-0.8271207809448242;-0.02552318572998047;-0.512115478515625;-1.3352165222167969;-0.019863128662109375,-0.4902801513671875;-0.078155517578125;-6.5480499267578125;-4.306465148925781;-0.8123855590820312;-0.8051834106445312;-0.39076995849609375;-1.9362106323242188;-3.2550582885742188;-0.0573883056640625
"She is not restless, and he is restless too.",quiet-restless,n,mm,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-15.023629188537598;-1.932358741760254;-5.797720909118652;-1.6948976516723633;-6.62459659576416;-3.596059799194336;-0.8650732040405273,0.0;-5.5535736083984375;-4.33624267578125;-14.88125991821289;-3.1665725708007812;-5.0409698486328125;-5.636623382568359;-12.515922546386719;-9.161544799804688;-5.802995681762695,-0.5123910903930664;-0.033351898193359375;-5.787565231323242;-5.0917816162109375;-0.8371686935424805;-0.8373270034790039;-0.07534027099609375;-2.996725082397461;-0.7842483520507812;-0.026792526245117188,-0.334320068359375;-0.08983612060546875;-6.513816833496094;-7.417236328125;-1.7265625;-0.46656036376953125;-0.27375030517578125;-3.9299774169921875;-1.4004364013671875;-0.04154205322265625
"She is not quiet, and he is restless too.",quiet-restless,n,pm,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-10.387897491455078;-1.9429941177368164;-5.458634376525879;-1.896371841430664;-8.637955665588379;-5.64614200592041;-0.7549953460693359,0.0;-8.445808410644531;-5.412073135375977;-10.038936614990234;-3.1406402587890625;-4.995014190673828;-9.147003173828125;-11.745552062988281;-4.411518096923828;-7.179592132568359,-3.3883371353149414;-0.00608062744140625;-4.423315048217773;-5.339792251586914;-0.5429115295410156;-2.593660354614258;-0.19829082489013672;-6.385108947753906;-1.050278663635254;-0.014797210693359375,-6.281185150146484;-0.1482391357421875;-1.7214622497558594;-4.685173034667969;-0.41552734375;-7.882469177246094;-0.26790618896484375;-7.951168060302734;-0.604095458984375;-0.04674530029296875
"She is not restless, and he is quiet too.",quiet-restless,n,mp,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-15.023629188537598;-1.932358741760254;-5.797720909118652;-1.6948976516723633;-6.162193298339844;-5.72899866104126;-0.8054103851318359,0.0;-5.879688262939453;-4.848766326904297;-14.811349868774414;-2.8096046447753906;-5.1856489181518555;-7.730983734130859;-5.736719131469727;-6.113849639892578;-7.586002349853516,-1.5457868576049805;-0.015193939208984375;-3.60500431060791;-8.530306816101074;-0.5525302886962891;-1.7031269073486328;-0.06801319122314453;-4.936681747436523;-2.4185256958007812;-0.017181396484375,-6.30145263671875;-0.12969207763671875;-1.502471923828125;-7.979766845703125;-0.23661041259765625;-7.456298828125;-0.1561737060546875;-3.4208717346191406;-0.31256103515625;-0.02248382568359375
"He is lucky, and she is lucky too.",lucky-unlucky,y,pp,n,mf,0.0;-3.1556758880615234;-10.492676734924316;-2.7509384155273438;-5.3148064613342285;-0.6176471710205078;-1.329573631286621;-2.6867332458496094;-0.9549198150634766,0.0;-7.6754302978515625;-16.04991912841797;-6.2935028076171875;-5.830524444580078;-6.169898986816406;-15.773880004882812;-2.184772491455078;-6.7107391357421875,-0.3557319641113281;-0.083282470703125;-0.11704349517822266;-0.16093158721923828;-0.7518625259399414;-0.008966445922851562;-0.15899944305419922;-0.0800790786743164;-0.027362823486328125,-0.06256866455078125;-0.121917724609375;-0.10602569580078125;-0.586700439453125;-0.2338104248046875;-0.11251068115234375;-0.3258056640625;-0.06988525390625;-0.0220794677734375
"He is unlucky, and she is unlucky too.",lucky-unlucky,y,mm,n,mf,0.0;-3.1556758880615234;-12.603533744812012;-2.203799247741699;-5.946909427642822;-0.8960323333740234;-2.5012264251708984;-3.297274589538574;-1.0495471954345703,0.0;-7.503734588623047;-32.43490219116211;-6.202625274658203;-6.390377044677734;-6.191619873046875;-30.591445922851562;-6.014102935791016;-3.196746826171875,-0.41300296783447266;-0.08066749572753906;-0.12304306030273438;-0.44503211975097656;-0.9417152404785156;-0.014165878295898438;-0.00232696533203125;-0.24101924896240234;-0.029178619384765625,-0.0818023681640625;-0.07708740234375;-0.30898284912109375;-0.9323348999023438;-0.13654327392578125;-0.1128997802734375;-0.93505859375;-0.13336944580078125;-0.03931427001953125
"He is lucky, and she is unlucky too.",lucky-unlucky,y,pm,n,mf,0.0;-3.1556758880615234;-10.492676734924316;-2.7509384155273438;-5.3148064613342285;-0.6176471710205078;-3.9306955337524414;-4.180469512939453;-0.9716377258300781,0.0;-8.686843872070312;-6.855358123779297;-2.5061073303222656;-7.99114990234375;-6.988250732421875;-33.30781173706055;-9.98373031616211;-5.549251556396484,-0.3069324493408203;-0.09673500061035156;-0.20012569427490234;-1.0583477020263672;-0.8672084808349609;-0.018346786499023438;-0.00928497314453125;-0.26840877532958984;-0.025056838989257812,-3.54071044921875;-0.10283660888671875;-1.8881607055664062;-1.2988739013671875;-4.408355712890625;-0.212371826171875;-7.994194030761719;-1.9927597045898438;-0.0374908447265625
"He is unlucky, and she is lucky too.",lucky-unlucky,y,mp,n,mf,0.0;-3.1556758880615234;-12.603533744812012;-2.203799247741699;-5.946909427642822;-0.8960323333740234;-1.3860607147216797;-3.5237722396850586;-0.9915533065795898,0.0;-11.820091247558594;-27.037349700927734;-2.4221954345703125;-6.211336612701416;-5.881069183349609;-11.641605377197266;-6.931613922119141;-7.614997863769531,-0.4149341583251953;-0.1297168731689453;-0.10453224182128906;-1.3155670166015625;-0.8090114593505859;-0.017688751220703125;-1.2939386367797852;-0.26875877380371094;-0.028364181518554688,-1.27899169921875;-0.129638671875;-7.810234069824219;-1.8899002075195312;-1.13702392578125;-0.14453887939453125;-2.6451492309570312;-0.6208953857421875;-0.03662872314453125
