sentence,adjectives,transparency,polarity,negation,gender,gpt2_large_sentence_surprisal,xlnet_large_cased_sentence_surprisal,bert_large_cased_sentence_surprisal,roberta_large_sentence_surprisal
She is quiet means that she is quiet.,quiet-restless,n,pp,n,fm,33.40200806,76.54424286,18.03705311,14.72105789
She is restless means that she is restless.,quiet-restless,n,mm,n,fm,34.40415192,92.39185333,10.81459141,13.27851868
She is quiet means that she is restless.,quiet-restless,n,pm,n,fm,38.42809677,88.53167725,24.12375307,24.95728302
She is restless means that she is quiet.,quiet-restless,n,mp,n,fm,40.01626968,84.85395813,23.48074913,30.52146912
She is not quiet means that she is quiet.,quiet-restless,n,pp,y,fm,35.65185165,95.21398926,16.92498016,17.74500275
She is not restless means that she is restless.,quiet-restless,n,mm,y,fm,43.87960815,94.67700195,20.41940022,16.40752411
She is not quiet means that she is restless.,quiet-restless,n,pm,y,fm,38.99986267,85.16884613,22.47130919,24.33845901
She is not restless means that she is quiet.,quiet-restless,n,mp,y,fm,42.57870102,102.1949768,23.88044214,27.30478287
He is lucky means that he is lucky.,lucky-unlucky,y,pp,n,mf,33.34098053,91.70362091,11.25601768,18.7260704
He is unlucky means that he is unlucky.,lucky-unlucky,y,mm,n,mf,33.38805389,134.111084,8.752962112,14.68598938
He is lucky means that he is unlucky.,lucky-unlucky,y,pm,n,mf,36.09543991,112.4033127,12.67237854,20.98184586
He is unlucky means that he is lucky.,lucky-unlucky,y,mp,n,mf,35.21142197,93.96539307,13.79832745,20.29905319
He is not lucky means that he is lucky.,lucky-unlucky,y,pp,y,mf,34.74978256,89.34095764,16.6547327,18.03763199
He is not unlucky means that he is unlucky.,lucky-unlucky,y,mm,y,mf,36.57644272,128.6354065,11.00212049,17.65644836
He is not lucky means that he is unlucky.,lucky-unlucky,y,pm,y,mf,34.97225571,106.4785614,13.23940516,14.99998093
He is not unlucky means that he is lucky.,lucky-unlucky,y,mp,y,mf,36.70365906,97.97512817,14.2879343,16.73524094
She is lucky means that she is lucky.,lucky-unlucky,y,pp,n,fm,34.48909378,90.95452881,13.27105284,19.0945015
She is unlucky means that she is unlucky.,lucky-unlucky,y,mm,n,fm,33.66544724,138.3130646,9.50912571,15.42115021
She is lucky means that she is unlucky.,lucky-unlucky,y,pm,n,fm,38.08620453,112.2480011,14.54334641,21.80130386
She is unlucky means that she is lucky.,lucky-unlucky,y,mp,n,fm,35.53940582,99.76061249,15.39213085,20.8351593
She is not lucky means that she is lucky.,lucky-unlucky,y,pp,y,fm,35.74875641,91.9854126,18.20930099,18.4823494
She is not unlucky means that she is unlucky.,lucky-unlucky,y,mm,y,fm,37.51209641,129.2538147,11.60849619,17.96774292
She is not lucky means that she is unlucky.,lucky-unlucky,y,pm,y,fm,36.01314163,111.2975769,13.82172203,14.12937164
She is not unlucky means that she is lucky.,lucky-unlucky,y,mp,y,fm,37.32252884,100.4644241,14.67636681,15.99103928
He is tall means that he is tall.,tall-short,n,pp,n,mf,34.41824341,90.32203674,12.65604401,14.28223419
He is short means that he is short.,tall-short,n,mm,n,mf,35.47005463,82.00894165,14.35794067,14.75516129
He is tall means that he is short.,tall-short,n,pm,n,mf,36.77557373,84.20926666,18.5560503,19.97758102
He is short means that he is tall.,tall-short,n,mp,n,mf,35.29925919,76.96324921,17.3574295,14.70578384
He is not tall means that he is tall.,tall-short,n,pp,y,mf,37.74559784,91.80834961,17.46395302,17.1892662
He is not short means that he is short.,tall-short,n,mm,y,mf,42.08433533,87.50937653,15.42852592,18.66598129
He is not tall means that he is short.,tall-short,n,pm,y,mf,37.47312164,86.05719757,12.61333752,13.43367767
He is not short means that he is tall.,tall-short,n,mp,y,mf,41.84241104,92.09981537,15.81085014,15.15785599
She is tall means that she is tall.,tall-short,n,pp,n,fm,34.40408325,84.92771912,12.7117424,13.25281525
She is short means that she is short.,tall-short,n,mm,n,fm,36.37594604,81.50115204,14.85257149,12.46653748
She is tall means that she is short.,tall-short,n,pm,n,fm,36.07830429,84.35443115,18.96786308,18.44300461
She is short means that she is tall.,tall-short,n,mp,n,fm,36.44123077,80.08326721,17.59356308,14.60046387
She is not tall means that she is tall.,tall-short,n,pp,y,fm,37.56736374,88.16246033,16.9184103,16.59124756
She is not short means that she is short.,tall-short,n,mm,y,fm,41.43781662,80.68202209,16.04150152,18.44927597
She is not tall means that she is short.,tall-short,n,pm,y,fm,37.149086,85.23828888,12.52374554,13.04043579
She is not short means that she is tall.,tall-short,n,mp,y,fm,41.12415314,88.27856445,16.26256418,14.83046341
He is nice means that he is nice.,nice-nasty,n,pp,n,mf,35.1943512,85.14851379,12.46617603,14.87139893
He is nasty means that he is nasty.,nice-nasty,n,mm,n,mf,36.55552673,91.05632019,12.53030491,17.29482269
He is nice means that he is nasty.,nice-nasty,n,pm,n,mf,39.91902924,72.71399689,26.43768311,27.33671951
He is nasty means that he is nice.,nice-nasty,n,mp,n,mf,39.10447693,73.97193146,25.42930603,26.71019363
He is not nice means that he is nice.,nice-nasty,n,pp,y,mf,37.79742432,81.97499084,20.71362209,18.81092072
He is not nasty means that he is nasty.,nice-nasty,n,mm,y,mf,42.50016785,93.82084656,20.39567184,20.47817993
He is not nice means that he is nasty.,nice-nasty,n,pm,y,mf,37.18820953,89.27128601,20.0499506,21.26936722
He is not nasty means that he is nice.,nice-nasty,n,mp,y,mf,38.2851944,89.84068298,20.89168549,17.19174576
She is nice means that she is nice.,nice-nasty,n,pp,n,fm,34.42581558,90.84736633,12.91058826,13.53772736
She is nasty means that she is nasty.,nice-nasty,n,mm,n,fm,35.74983978,90.44328308,13.27657509,15.7373848
She is nice means that she is nasty.,nice-nasty,n,pm,n,fm,38.36702347,77.03100586,26.99795723,25.93799591
She is nasty means that she is nice.,nice-nasty,n,mp,n,fm,37.89345551,79.39061737,25.42195129,26.54328537
She is not nice means that she is nice.,nice-nasty,n,pp,y,fm,36.83683777,84.22396851,20.41682529,18.33362961
She is not nasty means that she is nasty.,nice-nasty,n,mm,y,fm,41.4425087,91.69431305,21.99514198,18.78654861
She is not nice means that she is nasty.,nice-nasty,n,pm,y,fm,36.47738266,92.96757507,19.84333992,18.97084045
She is not nasty means that she is nice.,nice-nasty,n,mp,y,fm,37.62769318,93.12480164,20.32692623,16.15029144
He is nice means that he is nice.,nice-mean,n,pp,n,mf,35.1943512,85.14851379,12.46617603,14.87139893
He is mean means that he is mean.,nice-mean,n,mm,n,mf,33.75976181,80.3052063,12.19560146,18.01992035
He is nice means that he is mean.,nice-mean,n,pm,n,mf,37.7570343,67.5007782,24.98890114,23.03442764
He is mean means that he is nice.,nice-mean,n,mp,n,mf,38.01272202,73.61820221,25.34088182,22.80063629
He is not nice means that he is nice.,nice-mean,n,pp,y,mf,37.79742432,81.97499084,20.71362209,18.81092072
He is not mean means that he is mean.,nice-mean,n,mm,y,mf,37.16397858,94.73658752,18.3633194,19.97902679
He is not nice means that he is mean.,nice-mean,n,pm,y,mf,35.79162598,90.39619446,18.69546413,19.07372665
He is not mean means that he is nice.,nice-mean,n,mp,y,mf,39.15965271,87.10714722,20.27779579,21.91296387
She is nice means that she is nice.,nice-mean,n,pp,n,fm,34.42581558,90.84736633,12.91058826,13.53772736
She is mean means that she is mean.,nice-mean,n,mm,n,fm,34.05596924,76.61862183,12.5292511,16.47419739
She is nice means that she is mean.,nice-mean,n,pm,n,fm,36.4329834,77.82103729,25.47727251,21.81562805
She is mean means that she is nice.,nice-mean,n,mp,n,fm,37.37307358,70.45519257,23.96277094,22.96697235
She is not nice means that she is nice.,nice-mean,n,pp,y,fm,36.83683777,84.22396851,20.41682529,18.33362961
She is not mean means that she is mean.,nice-mean,n,mm,y,fm,36.63859558,95.7756958,19.07794189,17.4785347
She is not nice means that she is mean.,nice-mean,n,pm,y,fm,34.99043274,91.90296936,18.48690128,16.0092659
She is not mean means that she is nice.,nice-mean,n,mp,y,fm,38.27170563,82.28677368,19.28480768,19.4167366
He is kind means that he is kind.,kind-unkind,y,pp,n,mf,36.3232193,83.66976929,14.48456335,18.70996094
He is unkind means that he is unkind.,kind-unkind,y,mm,n,mf,40.29768372,134.7809753,9.129268646,13.00504303
He is kind means that he is unkind.,kind-unkind,y,pm,n,mf,42.98671722,104.0653534,18.03543663,18.46205521
He is unkind means that he is kind.,kind-unkind,y,mp,n,mf,42.2449913,99.5734787,17.24989891,19.0320015
He is not kind means that he is kind.,kind-unkind,y,pp,y,mf,38.47076416,86.30137634,19.56844044,22.27065277
He is not unkind means that he is unkind.,kind-unkind,y,mm,y,mf,41.10680008,124.1746521,10.62001705,13.45558929
He is not kind means that he is unkind.,kind-unkind,y,pm,y,mf,38.58963013,98.84729004,11.34354544,14.11825562
He is not unkind means that he is kind.,kind-unkind,y,mp,y,mf,42.18794632,91.45592499,12.40989494,14.58491898
She is kind means that she is kind.,kind-unkind,y,pp,n,fm,35.13476563,84.00902557,15.09024763,18.01286697
She is unkind means that she is unkind.,kind-unkind,y,mm,n,fm,40.34518433,136.7091827,10.68170452,11.26875305
She is kind means that she is unkind.,kind-unkind,y,pm,n,fm,41.84116364,105.5609055,19.46341419,17.75780869
She is unkind means that she is kind.,kind-unkind,y,mp,n,fm,42.17788315,99.18216705,18.83808041,19.1713028
She is not kind means that she is kind.,kind-unkind,y,pp,y,fm,38.03695297,85.15339661,20.06429863,21.80613327
She is not unkind means that she is unkind.,kind-unkind,y,mm,y,fm,40.27627563,121.2612457,11.65526772,11.59942627
She is not kind means that she is unkind.,kind-unkind,y,pm,y,fm,38.9093399,105.5201874,11.71224976,12.15433884
She is not unkind means that she is kind.,kind-unkind,y,mp,y,fm,41.10131836,94.05796814,13.05092716,13.39310837
He is kind means that he is kind.,kind-mean,n,pp,n,mf,36.3232193,83.66976929,14.48456335,18.70996094
He is mean means that he is mean.,kind-mean,n,mm,n,mf,33.75976181,80.3052063,12.19560146,18.01992035
He is kind means that he is mean.,kind-mean,n,pm,n,mf,40.56604767,79.4261322,26.92901134,27.51387787
He is mean means that he is kind.,kind-mean,n,mp,n,mf,37.00497437,73.39780426,27.10524464,24.84161758
He is not kind means that he is kind.,kind-mean,n,pp,y,mf,38.47076416,86.30137634,19.56844044,22.27065277
He is not mean means that he is mean.,kind-mean,n,mm,y,mf,37.16397858,94.73658752,18.3633194,19.97902679
He is not kind means that he is mean.,kind-mean,n,pm,y,mf,37.77604294,86.59863281,17.75715876,21.89617157
He is not mean means that he is kind.,kind-mean,n,mp,y,mf,38.82987595,89.50704956,20.91248178,23.55083847
She is kind means that she is kind.,kind-mean,n,pp,n,fm,35.13476563,84.00902557,15.09024763,18.01286697
She is mean means that she is mean.,kind-mean,n,mm,n,fm,34.05596924,76.61862183,12.5292511,16.47419739
She is kind means that she is mean.,kind-mean,n,pm,n,fm,39.10619354,78.06440735,27.41774225,27.68832016
She is mean means that she is kind.,kind-mean,n,mp,n,fm,36.62090302,72.50577545,26.33257961,24.68424606
She is not kind means that she is kind.,kind-mean,n,pp,y,fm,38.03695297,85.15339661,20.06429863,21.80613327
She is not mean means that she is mean.,kind-mean,n,mm,y,fm,36.63859558,95.7756958,19.07794189,17.4785347
She is not kind means that she is mean.,kind-mean,n,pm,y,fm,38.00135422,81.37255859,18.20451117,17.81946945
She is not mean means that she is kind.,kind-mean,n,mp,y,fm,38.27620316,87.49443054,20.30866861,21.71893692
He is kind means that he is kind.,kind-nasty,n,pp,n,mf,36.3232193,83.66976929,14.48456335,18.70996094
He is nasty means that he is nasty.,kind-nasty,n,mm,n,mf,36.55552673,91.05632019,12.53030491,17.29482269
He is kind means that he is nasty.,kind-nasty,n,pm,n,mf,43.0927887,79.34550476,32.42047405,31.21206284
He is nasty means that he is kind.,kind-nasty,n,mp,n,mf,38.14894867,80.32919312,29.33501959,27.95951843
He is not kind means that he is kind.,kind-nasty,n,pp,y,mf,38.47076416,86.30137634,19.56844044,22.27065277
He is not nasty means that he is nasty.,kind-nasty,n,mm,y,mf,42.50016785,93.82084656,20.39567184,20.47817993
He is not kind means that he is nasty.,kind-nasty,n,pm,y,mf,40.36297989,90.82406616,21.98601246,26.5086174
He is not nasty means that he is kind.,kind-nasty,n,mp,y,mf,38.56069946,91.01135254,23.04324913,21.65484238
She is kind means that she is kind.,kind-nasty,n,pp,n,fm,35.13476563,84.00902557,15.09024763,18.01286697
She is nasty means that she is nasty.,kind-nasty,n,mm,n,fm,35.74983978,90.44328308,13.27657509,15.7373848
She is kind means that she is nasty.,kind-nasty,n,pm,n,fm,41.66366577,77.77945709,32.60505295,30.158741
She is nasty means that she is kind.,kind-nasty,n,mp,n,fm,37.16136932,79.0756073,29.36056519,27.83229828
She is not kind means that she is kind.,kind-nasty,n,pp,y,fm,38.03695297,85.15339661,20.06429863,21.80613327
She is not nasty means that she is nasty.,kind-nasty,n,mm,y,fm,41.4425087,91.69431305,21.99514198,18.78654861
She is not kind means that she is nasty.,kind-nasty,n,pm,y,fm,40.49247742,84.72016907,21.65956402,21.86426163
She is not nasty means that she is kind.,kind-nasty,n,mp,y,fm,37.81910324,88.92222595,22.34696579,19.67069626
He is friendly means that he is friendly.,friendly-nasty,n,pp,n,mf,33.99428558,87.40544891,15.49676323,13.24110031
He is nasty means that he is nasty.,friendly-nasty,n,mm,n,mf,36.55552673,91.05632019,12.53030491,17.29482269
He is friendly means that he is nasty.,friendly-nasty,n,pm,n,mf,41.38766098,82.35604095,30.38853645,29.94097137
He is nasty means that he is friendly.,friendly-nasty,n,mp,n,mf,39.1659317,79.31333923,28.83629417,30.83338928
He is not friendly means that he is friendly.,friendly-nasty,n,pp,y,mf,37.94200516,83.51756287,22.74643087,19.45588684
He is not nasty means that he is nasty.,friendly-nasty,n,mm,y,mf,42.50016785,93.82084656,20.39567184,20.47817993
He is not friendly means that he is nasty.,friendly-nasty,n,pm,y,mf,39.50858688,89.14886475,22.85942507,21.98112869
He is not nasty means that he is friendly.,friendly-nasty,n,mp,y,mf,39.42356873,92.25171661,22.91987753,21.77780151
She is friendly means that she is friendly.,friendly-nasty,n,pp,n,fm,34.31464005,86.17140198,16.70042992,11.98288727
She is nasty means that she is nasty.,friendly-nasty,n,mm,n,fm,35.74983978,90.44328308,13.27657509,15.7373848
She is friendly means that she is nasty.,friendly-nasty,n,pm,n,fm,41.08496857,79.51895905,30.43362141,29.36245346
She is nasty means that she is friendly.,friendly-nasty,n,mp,n,fm,38.27893829,81.15400696,29.69008493,30.71623611
She is not friendly means that she is friendly.,friendly-nasty,n,pp,y,fm,37.75360107,85.35494995,23.52743483,19.70830536
She is not nasty means that she is nasty.,friendly-nasty,n,mm,y,fm,41.4425087,91.69431305,21.99514198,18.78654861
She is not friendly means that she is nasty.,friendly-nasty,n,pm,y,fm,39.7804184,86.14077759,22.56883383,19.72821426
She is not nasty means that she is friendly.,friendly-nasty,n,mp,y,fm,39.02054977,90.6569519,23.00071239,20.69869995
He is friendly means that he is friendly.,friendly-mean,n,pp,n,mf,33.99428558,87.40544891,15.49676323,13.24110031
He is mean means that he is mean.,friendly-mean,n,mm,n,mf,33.75976181,80.3052063,12.19560146,18.01992035
He is friendly means that he is mean.,friendly-mean,n,pm,n,mf,38.75286102,75.87906647,26.86655664,23.48371506
He is mean means that he is friendly.,friendly-mean,n,mp,n,mf,39.09230804,88.4401474,28.56648636,25.7010231
He is not friendly means that he is friendly.,friendly-mean,n,pp,y,mf,37.94200516,83.51756287,22.74643087,19.45588684
He is not mean means that he is mean.,friendly-mean,n,mm,y,mf,37.16397858,94.73658752,18.3633194,19.97902679
He is not friendly means that he is mean.,friendly-mean,n,pm,y,mf,37.55413055,88.68842316,20.48763895,17.17950439
He is not mean means that he is friendly.,friendly-mean,n,mp,y,mf,40.7231369,82.56272888,22.88403225,28.11405945
She is friendly means that she is friendly.,friendly-mean,n,pp,n,fm,34.31464005,86.17140198,16.70042992,11.98288727
She is mean means that she is mean.,friendly-mean,n,mm,n,fm,34.05596924,76.61862183,12.5292511,16.47419739
She is friendly means that she is mean.,friendly-mean,n,pm,n,fm,38.16734314,75.59230042,26.75979948,23.20766068
She is mean means that she is friendly.,friendly-mean,n,mp,n,fm,38.82578278,80.96659088,28.28989744,25.69788361
She is not friendly means that she is friendly.,friendly-mean,n,pp,y,fm,37.75360107,85.35494995,23.52743483,19.70830536
She is not mean means that she is mean.,friendly-mean,n,mm,y,fm,36.63859558,95.7756958,19.07794189,17.4785347
She is not friendly means that she is mean.,friendly-mean,n,pm,y,fm,37.40846634,88.45730591,20.13216925,15.06296158
She is not mean means that she is friendly.,friendly-mean,n,mp,y,fm,40.03956604,79.93099213,21.22367382,26.71967316
He is friendly means that he is friendly.,friendly-unfriendly,y,pp,n,mf,33.99428558,87.40544891,15.49676323,13.24110031
He is unfriendly means that he is unfriendly.,friendly-unfriendly,y,mm,n,mf,37.35216141,142.7558441,9.007435322,9.5872612
He is friendly means that he is unfriendly.,friendly-unfriendly,y,pm,n,mf,37.30239868,106.6750946,18.133214,17.13850021
He is unfriendly means that he is friendly.,friendly-unfriendly,y,mp,n,mf,39.98203659,105.3399582,17.09739971,17.28240204
He is not friendly means that he is friendly.,friendly-unfriendly,y,pp,y,mf,37.94200516,83.51756287,22.74643087,19.45588684
He is not unfriendly means that he is unfriendly.,friendly-unfriendly,y,mm,y,mf,39.02884674,129.9526367,12.03301477,10.77804947
He is not friendly means that he is unfriendly.,friendly-unfriendly,y,pm,y,mf,36.18606186,115.0316162,13.29431725,10.63845062
He is not unfriendly means that he is friendly.,friendly-unfriendly,y,mp,y,mf,37.42487717,100.3830261,14.95280743,13.25035477
She is friendly means that she is friendly.,friendly-unfriendly,y,pp,n,fm,34.31464005,86.17140198,16.70042992,11.98288727
She is unfriendly means that she is unfriendly.,friendly-unfriendly,y,mm,n,fm,37.28882217,135.9577332,10.48484659,8.487503052
She is friendly means that she is unfriendly.,friendly-unfriendly,y,pm,n,fm,37.64578247,107.3000183,17.68636799,16.81501007
She is unfriendly means that she is friendly.,friendly-unfriendly,y,mp,n,fm,40.10397339,101.8228149,17.28414345,17.16072845
She is not friendly means that she is friendly.,friendly-unfriendly,y,pp,y,fm,37.75360107,85.35494995,23.52743483,19.70830536
She is not unfriendly means that she is unfriendly.,friendly-unfriendly,y,mm,y,fm,39.45383453,131.4291382,13.43660212,10.29170227
She is not friendly means that she is unfriendly.,friendly-unfriendly,y,pm,y,fm,36.64747238,116.1908951,13.22535229,8.76379776
She is not unfriendly means that she is friendly.,friendly-unfriendly,y,mp,y,fm,37.4785614,99.21131897,15.40040588,12.28113937
He is good means that he is good.,good-bad,n,pp,n,mf,33.20636368,73.56587219,9.614336967,15.40736008
He is bad means that he is bad.,good-bad,n,mm,n,mf,32.25603485,79.78665924,9.067292213,14.57026291
He is good means that he is bad.,good-bad,n,pm,n,mf,35.40348816,72.70110321,14.73012018,18.24276352
He is bad means that he is good.,good-bad,n,mp,n,mf,33.45193863,70.33843231,15.83905745,18.61387634
He is not good means that he is good.,good-bad,n,pp,y,mf,35.12648392,78.66671753,18.55977821,21.10206604
He is not bad means that he is bad.,good-bad,n,mm,y,mf,36.6674881,83.44396973,15.70401955,15.90507126
He is not good means that he is bad.,good-bad,n,pm,y,mf,33.59932327,86.78007507,15.09187508,14.43148422
He is not bad means that he is good.,good-bad,n,mp,y,mf,34.67215347,81.80627441,15.9548645,13.14390945
She is good means that she is good.,good-bad,n,pp,n,fm,33.92368698,74.35161591,10.35443497,15.20161438
She is bad means that she is bad.,good-bad,n,mm,n,fm,33.09700775,75.57627106,9.842962265,13.97887039
She is good means that she is bad.,good-bad,n,pm,n,fm,36.27849579,74.82828522,15.42399168,18.17177582
She is bad means that she is good.,good-bad,n,mp,n,fm,33.98371124,69.89082336,16.32778263,18.76173782
She is not good means that she is good.,good-bad,n,pp,y,fm,35.69483185,82.17438507,18.90276432,20.63767624
She is not bad means that she is bad.,good-bad,n,mm,y,fm,36.54684067,83.94324493,16.71583176,15.89838028
She is not good means that she is bad.,good-bad,n,pm,y,fm,34.45290375,84.10749817,15.24918747,13.55909729
She is not bad means that she is good.,good-bad,n,mp,y,fm,34.5928688,90.43611908,16.22826672,13.10464859
He is strong means that he is strong.,strong-weak,n,pp,n,mf,31.31513977,85.1962738,12.35688686,17.49453354
He is weak means that he is weak.,strong-weak,n,mm,n,mf,31.31147766,78.9276123,8.981732845,15.40629959
He is strong means that he is weak.,strong-weak,n,pm,n,mf,35.27745819,79.09333038,18.49947548,25.0952301
He is weak means that he is strong.,strong-weak,n,mp,n,mf,35.45348358,80.59242249,19.0134964,25.5627861
He is not strong means that he is strong.,strong-weak,n,pp,y,mf,36.88293839,87.68299866,19.77881527,20.87681198
He is not weak means that he is weak.,strong-weak,n,mm,y,mf,33.35624695,86.75474548,14.40847778,15.977108
He is not strong means that he is weak.,strong-weak,n,pm,y,mf,31.96708107,81.98991394,13.05979729,12.56367874
He is not weak means that he is strong.,strong-weak,n,mp,y,mf,33.05817795,79.26422882,13.24534416,13.86787033
She is strong means that she is strong.,strong-weak,n,pp,n,fm,31.54765701,86.50934601,12.3677845,16.45755386
She is weak means that she is weak.,strong-weak,n,mm,n,fm,32.30405045,74.13782501,9.918475151,15.34889603
She is strong means that she is weak.,strong-weak,n,pm,n,fm,35.74846649,84.99043274,19.22377205,24.25326538
She is weak means that she is strong.,strong-weak,n,mp,n,fm,36.20679474,78.87579346,19.16094112,24.69524765
She is not strong means that she is strong.,strong-weak,n,pp,y,fm,37.16553879,87.83098602,19.66398621,20.53546143
She is not weak means that she is weak.,strong-weak,n,mm,y,fm,34.97997665,85.50440979,15.77102137,14.88771439
She is not strong means that she is weak.,strong-weak,n,pm,y,fm,32.16094971,87.76338959,13.0133028,11.5567131
She is not weak means that she is strong.,strong-weak,n,mp,y,fm,34.4005394,83.65489197,13.60568285,13.29661942
He is polite means that he is polite.,polite-rude,n,pp,n,mf,33.30887604,84.56809235,11.43012905,13.66069794
He is rude means that he is rude.,polite-rude,n,mm,n,mf,33.31964874,85.06998444,12.78495598,18.48462296
He is polite means that he is rude.,polite-rude,n,pm,n,mf,38.15638733,83.18138123,26.03575993,25.29873276
He is rude means that he is polite.,polite-rude,n,mp,n,mf,37.81853104,84.50151062,24.74683666,27.39850235
He is not polite means that he is polite.,polite-rude,n,pp,y,mf,37.98802567,91.42695618,17.72519112,20.55755615
He is not rude means that he is rude.,polite-rude,n,mm,y,mf,40.23803711,89.45509338,21.67799473,18.75616074
He is not polite means that he is rude.,polite-rude,n,pm,y,mf,35.51667023,92.75367737,16.21271133,15.45614243
He is not rude means that he is polite.,polite-rude,n,mp,y,mf,36.69962311,88.45142365,18.92898178,18.32623291
She is polite means that she is polite.,polite-rude,n,pp,n,fm,32.89255905,87.95278931,13.32382393,12.95417786
She is rude means that she is rude.,polite-rude,n,mm,n,fm,32.80075836,91.20652008,14.35680199,17.19795227
She is polite means that she is rude.,polite-rude,n,pm,n,fm,37.00211716,82.73981476,27.62067986,24.67791748
She is rude means that she is polite.,polite-rude,n,mp,n,fm,37.03227234,93.99003601,25.97075224,27.69705582
She is not polite means that she is polite.,polite-rude,n,pp,y,fm,37.62472153,87.90042114,18.24830151,20.69083786
She is not rude means that she is rude.,polite-rude,n,mm,y,fm,39.15184402,88.44338989,23.21725035,18.44185257
She is not polite means that she is rude.,polite-rude,n,pm,y,fm,35.12112045,90.29701233,16.60080433,13.21163559
She is not rude means that she is polite.,polite-rude,n,mp,y,fm,36.33805084,89.31238556,19.73949385,17.09500122
He is polite means that he is polite.,polite-impolite,y,pp,n,mf,33.30887604,84.56809235,11.43012905,13.66069794
He is impolite means that he is impolite.,polite-impolite,y,mm,n,mf,36.83863068,154.3111725,7.407624722,11.62229156
He is polite means that he is impolite.,polite-impolite,y,pm,n,mf,39.81875992,111.2086411,19.45447922,17.65493011
He is impolite means that he is polite.,polite-impolite,y,mp,n,mf,39.33166504,113.9290466,18.20241833,16.41798019
He is not polite means that he is polite.,polite-impolite,y,pp,y,mf,37.98802567,91.42695618,17.72519112,20.55755615
He is not impolite means that he is impolite.,polite-impolite,y,mm,y,mf,41.12984848,149.2364807,10.6306324,12.65740204
He is not polite means that he is impolite.,polite-impolite,y,pm,y,mf,39.56974411,121.9684296,15.35690594,13.26638031
He is not impolite means that he is polite.,polite-impolite,y,mp,y,mf,40.46116257,115.0207291,13.34814358,13.26543808
She is polite means that she is polite.,polite-impolite,y,pp,n,fm,32.89255905,87.95278931,13.32382393,12.95417786
She is impolite means that she is impolite.,polite-impolite,y,mm,n,fm,37.22454453,149.7704315,8.135810852,10.27603149
She is polite means that she is impolite.,polite-impolite,y,pm,n,fm,39.03666306,114.0466919,19.58058739,17.33715439
She is impolite means that she is polite.,polite-impolite,y,mp,n,fm,38.97047043,111.5467377,18.68190956,16.05759048
She is not polite means that she is polite.,polite-impolite,y,pp,y,fm,37.62472153,87.90042114,18.24830151,20.69083786
She is not impolite means that she is impolite.,polite-impolite,y,mm,y,fm,41.7209816,143.1626129,11.10979605,12.12060165
She is not polite means that she is impolite.,polite-impolite,y,pm,y,fm,39.40571976,122.2453156,14.81254578,11.75995636
She is not impolite means that she is polite.,polite-impolite,y,mp,y,fm,39.20571136,111.3384705,13.65840626,12.83610535
