sentence,adjectives,transparency,polarity,negation,gender,roberta_large_surprisal,bert_large_cased_surprisal,xlnet_large_cased_surprisal,gpt2_large_surprisal
She is old. He too is young.,old-young,n,pm,n,fm,-2.950092315673828;-0.1480865478515625;-6.301166534423828;-0.00725555419921875;-0.3974151611328125;-2.772624969482422;-0.146514892578125;-5.893383026123047;-0.014739990234375,-1.9112672805786133;-0.06994819641113281;-4.706687927246094;-0.019552230834960938;-1.4254732131958008;-3.5312089920043945;-0.023786544799804688;-3.586033821105957;-0.014312744140625,0.0;-7.4839324951171875;-8.340042114257812;-4.5936431884765625;-6.7905426025390625;-16.14153289794922;-6.073089599609375;-7.983867645263672;-6.357173919677734,0.0;-3.225691318511963;-8.371822357177734;-2.5362329483032227;-5.205204963684082;-8.002267837524414;-0.8556423187255859;-4.530228137969971;-0.6612777709960938
She is young. He too is old.,old-young,n,mp,n,fm,-4.7807464599609375;-0.1357574462890625;-4.7862396240234375;-0.00568389892578125;-0.793487548828125;-3.0947227478027344;-0.0921783447265625;-4.569099426269531;-0.0124359130859375,-1.6739625930786133;-0.09075927734375;-4.584195137023926;-0.023359298706054688;-1.6074485778808594;-3.619441032409668;-0.0164337158203125;-3.3286399841308594;-0.013036727905273438,0.0;-9.876228332519531;-17.325759887695312;-6.91796875;-4.492897033691406;-17.185199737548828;-6.602577209472656;-7.397552490234375;-8.105751037597656,0.0;-3.225691318511963;-7.160595417022705;-2.7314624786376953;-5.53167724609375;-8.038488388061523;-0.6131906509399414;-4.375359058380127;-0.7011852264404297
She is not old. He too is old.,old-young,n,pp,y,fm,-4.049934387207031;-0.157196044921875;-4.326515197753906;-3.4266433715820312;-0.0139923095703125;-1.3903427124023438;-3.0491867065429688;-0.07470703125;-0.31255340576171875;-0.0277557373046875,-2.5535354614257812;-0.06331443786621094;-4.22159481048584;-1.2327203750610352;-0.024774551391601562;-2.149531364440918;-3.1364622116088867;-0.02340221405029297;-0.8303565979003906;-0.021162033081054688,0.0;-11.08102035522461;-4.419632911682129;-10.664068222045898;-3.588726043701172;-4.7521209716796875;-17.010372161865234;-8.03689193725586;-13.433826446533203;-3.2984771728515625,0.0;-3.225691318511963;-2.9663033485412598;-7.15364408493042;-2.6879701614379883;-5.636414527893066;-8.289892196655273;-0.8540668487548828;-3.1524581909179688;-0.9363012313842773
She is not young. He too is young.,old-young,n,mm,y,fm,-3.8901748657226562;-0.14630126953125;-5.0089263916015625;-2.1411285400390625;-0.00807952880859375;-0.9227066040039062;-3.4173851013183594;-0.23992156982421875;-2.5003814697265625;-0.02440643310546875,-2.0879478454589844;-0.03859138488769531;-4.372281074523926;-1.5965452194213867;-0.02613067626953125;-1.6904354095458984;-2.1633214950561523;-0.03046894073486328;-0.4795112609863281;-0.0234527587890625,0.0;-12.84747314453125;-9.865665435791016;-8.829219818115234;-5.318778991699219;-3.150165557861328;-18.738426208496094;-6.4447021484375;-12.376529693603516;-6.479953765869141,0.0;-3.225691318511963;-2.9663033485412598;-7.893599033355713;-1.9990863800048828;-5.8535566329956055;-8.425796508789062;-0.8563213348388672;-3.6106672286987305;-0.975428581237793
She is not old. He too is young.,old-young,n,pm,y,fm,-5.998950958251953;-0.14312744140625;-0.8354034423828125;-2.5071945190429688;-0.0071563720703125;-4.2996063232421875;-1.6743698120117188;-0.10666656494140625;-2.4979324340820312;-0.022186279296875,-3.0439271926879883;-0.0301666259765625;-3.4890317916870117;-3.4640016555786133;-0.021636962890625;-3.1157712936401367;-3.00473690032959;-0.02704620361328125;-1.4860000610351562;-0.022142410278320312,0.0;-10.255718231201172;-5.939146041870117;-8.281370162963867;-7.102804183959961;-3.438854217529297;-16.40140151977539;-6.454647064208984;-6.266563415527344;-6.987148284912109,0.0;-3.225691318511963;-2.9663033485412598;-7.15364408493042;-2.6879701614379883;-5.636414527893066;-8.289892196655273;-0.8540668487548828;-2.529081344604492;-1.0269966125488281
She is not young. He too is old.,old-young,n,mp,y,fm,-6.150806427001953;-0.12131500244140625;-2.1919822692871094;-3.6726150512695312;-0.0047607421875;-4.221946716308594;-1.3176765441894531;-0.06249237060546875;-0.33167266845703125;-0.0196990966796875,-3.3589820861816406;-0.04605293273925781;-4.368959426879883;-2.8515377044677734;-0.019741058349609375;-3.4502105712890625;-3.3796777725219727;-0.021383285522460938;-2.0402965545654297;-0.020229339599609375,0.0;-10.387748718261719;-11.060771942138672;-9.969186782836914;-6.268383026123047;-3.1020431518554688;-16.89673614501953;-7.982646942138672;-12.479446411132812;-5.272640228271484,0.0;-3.225691318511963;-2.9663033485412598;-7.893599033355713;-1.9990863800048828;-5.8535566329956055;-8.425796508789062;-0.8563213348388672;-2.8381614685058594;-0.9978151321411133
He is quiet. She too is quiet.,quiet-restless,n,pp,n,mf,-1.4764366149902344;-0.1351470947265625;-0.0443115234375;-0.00368499755859375;-0.8661651611328125;-1.2102165222167969;-0.05919647216796875;-0.07161712646484375;-0.00820159912109375,-1.8294658660888672;-0.15336036682128906;-0.28034114837646484;-0.009153366088867188;-1.150238037109375;-3.1207752227783203;-0.008798599243164062;-0.31864452362060547;-0.009569168090820312,0.0;-7.971763610839844;-14.425895690917969;-10.667259216308594;-3.6352691650390625;-20.933147430419922;-6.32386589050293;-16.233009338378906;-9.240840911865234,0.0;-3.1556758880615234;-8.424776077270508;-2.6907472610473633;-5.599769115447998;-8.345489501953125;-0.8293638229370117;-0.45802974700927734;-0.708735466003418
He is restless. She too is restless.,quiet-restless,n,mm,n,mf,-0.3246612548828125;-0.1788787841796875;-0.04317474365234375;-0.0042877197265625;-0.7656097412109375;-0.7198905944824219;-0.08017730712890625;-0.037628173828125;-0.01300811767578125,-0.8628368377685547;-0.26276493072509766;-0.5387277603149414;-0.020921707153320312;-1.2876358032226562;-2.628072738647461;-0.04471015930175781;-0.5810031890869141;-0.017217636108398438,0.0;-9.736343383789062;-17.059707641601562;-5.199851989746094;-4.620153427124023;-21.977867126464844;-5.670009613037109;-21.01561737060547;-3.930805206298828,0.0;-3.1556758880615234;-11.135445594787598;-1.7429656982421875;-4.939884185791016;-7.527181148529053;-0.9846763610839844;-0.5677976608276367;-0.75299072265625
He is quiet. She too is restless.,quiet-restless,n,pm,n,mf,-4.561866760253906;-0.34183502197265625;-8.33599853515625;-0.00673675537109375;-1.5909347534179688;-2.2825241088867188;-0.200286865234375;-10.273406982421875;-0.01232147216796875,-3.5534305572509766;-0.4478616714477539;-5.091676712036133;-0.007923126220703125;-1.7223234176635742;-3.411661148071289;-0.1830768585205078;-7.264355659484863;-0.014604568481445312,0.0;-9.281486511230469;-14.442428588867188;-4.444377899169922;-4.258846282958984;-26.2880859375;-9.030860900878906;-15.82322883605957;-5.0076141357421875,0.0;-3.1556758880615234;-8.424776077270508;-2.6907472610473633;-5.599769115447998;-8.345489501953125;-0.8293638229370117;-8.957597732543945;-0.8397998809814453
He is restless. She too is quiet.,quiet-restless,n,mp,n,mf,-3.4831619262695312;-0.629058837890625;-10.721519470214844;-0.0059356689453125;-0.7286911010742188;-2.139240264892578;-0.14208221435546875;-8.91021728515625;-0.0106201171875,-1.0846099853515625;-0.4599132537841797;-9.558738708496094;-0.0060634613037109375;-1.325246810913086;-3.4276790618896484;-0.034961700439453125;-5.22442626953125;-0.020061492919921875,0.0;-8.46490478515625;-17.399906158447266;-4.697898864746094;-6.688777923583984;-24.740509033203125;-7.746345520019531;-10.084495544433594;-8.983707427978516,0.0;-3.1556758880615234;-11.135445594787598;-1.7429656982421875;-4.939884185791016;-7.527181148529053;-0.9846763610839844;-7.9859938621521;-0.9911050796508789
He is not quiet. She too is quiet.,quiet-restless,n,pp,y,mf,-3.657573699951172;-0.137939453125;-3.8815994262695312;-4.604057312011719;-0.0071563720703125;-2.0756988525390625;-3.0300865173339844;-0.07956695556640625;-1.3564643859863281;-0.01696014404296875,-2.256175994873047;-0.018436431884765625;-3.5197954177856445;-2.942800521850586;-0.0091705322265625;-1.5164785385131836;-2.5962724685668945;-0.013286590576171875;-0.7252902984619141;-0.01407623291015625,0.0;-11.414871215820312;-8.378501892089844;-10.116778373718262;-9.899330139160156;-4.409721374511719;-16.834327697753906;-6.593286514282227;-14.236640930175781;-8.655120849609375,0.0;-3.1556758880615234;-2.8939313888549805;-8.730759620666504;-1.8367433547973633;-5.156672477722168;-8.158519744873047;-1.0326623916625977;-2.7325992584228516;-0.9730224609375
He is not restless. She too is restless.,quiet-restless,n,mm,y,mf,-1.1147918701171875;-0.1410064697265625;-3.9245033264160156;-8.433025360107422;-0.00823974609375;-1.4346694946289062;-3.0274696350097656;-0.10828399658203125;-1.5683135986328125;-0.01720428466796875,-1.2538976669311523;-0.0708465576171875;-4.38559627532959;-6.505181312561035;-0.02805805206298828;-1.779226303100586;-2.379990577697754;-0.06226634979248047;-2.3075294494628906;-0.022752761840820312,0.0;-12.47214126586914;-9.948446273803711;-13.725282669067383;-4.5044097900390625;-5.923126220703125;-17.71323013305664;-4.887750625610352;-17.318361282348633;-3.644947052001953,0.0;-3.1556758880615234;-2.8939313888549805;-13.893153190612793;-1.803853988647461;-5.666569709777832;-7.714530944824219;-0.9907665252685547;-3.162142753601074;-0.9494075775146484
He is not quiet. She too is restless.,quiet-restless,n,pm,y,mf,-4.983455657958984;-0.21785736083984375;-1.6448173522949219;-6.142662048339844;-0.00893402099609375;-4.616889953613281;-0.706573486328125;-0.10894012451171875;-5.2954254150390625;-0.01912689208984375,-4.717493057250977;-0.03286170959472656;-3.3717756271362305;-5.869472503662109;-0.008092880249023438;-4.89774227142334;-2.25640869140625;-0.1323108673095703;-5.430196762084961;-0.021635055541992188,0.0;-14.540569305419922;-12.199191093444824;-10.880187034606934;-4.610645294189453;-4.994047164916992;-21.024127960205078;-8.935630798339844;-12.972539901733398;-4.515953063964844,0.0;-3.1556758880615234;-2.8939313888549805;-8.730759620666504;-1.8367433547973633;-5.156672477722168;-8.158519744873047;-1.0326623916625977;-5.506752967834473;-1.0164756774902344
He is not restless. She too is quiet.,quiet-restless,n,mp,y,mf,-4.012676239013672;-0.132659912109375;-2.305522918701172;-8.610584259033203;-0.00360107421875;-1.9400100708007812;-0.6105079650878906;-0.09344482421875;-3.5559921264648438;-0.00937652587890625,-3.989974021911621;-0.027101516723632812;-3.122791290283203;-8.086349487304688;-0.009447097778320312;-3.767425537109375;-2.701864242553711;-0.036273956298828125;-3.230978012084961;-0.03667259216308594,0.0;-10.76589584350586;-11.887184143066406;-21.013473510742188;-3.984804153442383;-7.128501892089844;-18.351375579833984;-5.648227691650391;-9.163496971130371;-6.393157958984375,0.0;-3.1556758880615234;-2.8939313888549805;-13.893153190612793;-1.803853988647461;-5.666569709777832;-7.714530944824219;-0.9907665252685547;-5.089346885681152;-1.084620475769043
She is quiet. He too is quiet.,quiet-restless,n,pp,n,fm,-2.102527618408203;-0.10915374755859375;-0.0349884033203125;-0.00232696533203125;-0.3995819091796875;-1.2483139038085938;-0.1038970947265625;-0.0800323486328125;-0.00824737548828125,-2.0076494216918945;-0.1604938507080078;-0.23773860931396484;-0.010187149047851562;-1.311971664428711;-3.1104822158813477;-0.00826263427734375;-0.382598876953125;-0.007986068725585938,0.0;-11.02957534790039;-15.198371887207031;-9.256668090820312;-3.124439239501953;-17.47852325439453;-5.410266876220703;-13.85202407836914;-8.893020629882812,0.0;-3.225691318511963;-8.172981262207031;-2.5791139602661133;-5.449217319488525;-8.392492294311523;-0.7570686340332031;-0.4488048553466797;-0.7044572830200195
She is restless. He too is restless.,quiet-restless,n,mm,n,fm,-0.4946174621582031;-0.23593902587890625;-0.0599365234375;-0.002655029296875;-0.2878875732421875;-0.6023406982421875;-0.17192840576171875;-0.0269317626953125;-0.01100921630859375,-1.300602912902832;-0.23767566680908203;-0.5987567901611328;-0.023761749267578125;-1.010594367980957;-1.5222902297973633;-0.03560829162597656;-0.6388216018676758;-0.013582229614257812,0.0;-9.972053527832031;-20.366592407226562;-4.640815734863281;-2.963703155517578;-19.854259490966797;-4.524745941162109;-19.874481201171875;-4.263576507568359,0.0;-3.225691318511963;-10.916446685791016;-1.6955785751342773;-4.835966110229492;-7.740777969360352;-0.9259414672851562;-0.7333211898803711;-0.7853946685791016
She is quiet. He too is restless.,quiet-restless,n,pm,n,fm,-5.025386810302734;-0.3070526123046875;-7.707424163818359;-0.003814697265625;-1.4007644653320312;-2.184429168701172;-0.24654388427734375;-9.972457885742188;-0.01209259033203125,-3.5627031326293945;-0.45181751251220703;-4.902763366699219;-0.0098724365234375;-2.1495914459228516;-2.972378730773926;-0.1408672332763672;-6.9019775390625;-0.011533737182617188,0.0;-10.743080139160156;-17.396560668945312;-5.360588073730469;-4.009922027587891;-22.930419921875;-8.79388427734375;-13.986434936523438;-5.084075927734375,0.0;-3.225691318511963;-8.172981262207031;-2.5791139602661133;-5.449217319488525;-8.392492294311523;-0.7570686340332031;-8.95723819732666;-0.8245620727539062
She is restless. He too is quiet.,quiet-restless,n,mp,n,fm,-4.099483489990234;-0.5414505004882812;-11.41128158569336;-0.003662109375;-0.50103759765625;-2.0027122497558594;-0.202545166015625;-9.67556381225586;-0.0096893310546875,-1.6048593521118164;-0.4806194305419922;-8.8626708984375;-0.008892059326171875;-1.3918447494506836;-2.9286632537841797;-0.033072471618652344;-5.352138996124268;-0.016836166381835938,0.0;-12.36041259765625;-18.391998291015625;-3.9959793090820312;-5.117012023925781;-21.297142028808594;-8.051292419433594;-9.756332397460938;-8.719894409179688,0.0;-3.225691318511963;-10.916446685791016;-1.6955785751342773;-4.835966110229492;-7.740777969360352;-0.9259414672851562;-7.655599117279053;-0.9267787933349609
She is not quiet. He too is quiet.,quiet-restless,n,pp,y,fm,-4.932342529296875;-0.1082305908203125;-4.395694732666016;-4.587940216064453;-0.00567626953125;-0.964202880859375;-3.2476043701171875;-0.137054443359375;-1.1874656677246094;-0.019805908203125,-2.507493019104004;-0.01738739013671875;-3.415133476257324;-2.5213518142700195;-0.010004043579101562;-1.7199115753173828;-2.764425277709961;-0.012340545654296875;-0.8844146728515625;-0.010915756225585938,0.0;-10.023544311523438;-2.442232131958008;-10.368570327758789;-5.986930847167969;-4.463626861572266;-14.26495361328125;-6.207328796386719;-13.300117492675781;-6.270778656005859,0.0;-3.225691318511963;-2.9663033485412598;-8.816953659057617;-1.7608709335327148;-5.6286396980285645;-8.321165084838867;-1.0991525650024414;-2.816349983215332;-0.954218864440918
She is not restless. He too is restless.,quiet-restless,n,mm,y,fm,-1.7864265441894531;-0.16286468505859375;-4.447193145751953;-9.764808654785156;-0.00620269775390625;-0.39673614501953125;-3.3922119140625;-0.17389678955078125;-1.131927490234375;-0.01580810546875,-1.734170913696289;-0.06374168395996094;-4.3232574462890625;-6.55465841293335;-0.031928062438964844;-1.5803422927856445;-1.5771427154541016;-0.046484947204589844;-1.9258241653442383;-0.01876068115234375,0.0;-10.191951751708984;-10.232660293579102;-14.538301467895508;-4.2250518798828125;-2.468484878540039;-20.264938354492188;-6.169460296630859;-16.8017578125;-3.694751739501953,0.0;-3.225691318511963;-2.9663033485412598;-13.717021942138672;-1.742659568786621;-5.3767499923706055;-7.999899387359619;-0.9597291946411133;-3.5888800621032715;-1.0049629211425781
She is not quiet. He too is restless.,quiet-restless,n,pm,y,fm,-5.960285186767578;-0.18218994140625;-1.6515579223632812;-6.848945617675781;-0.00670623779296875;-4.6500091552734375;-0.9572219848632812;-0.12558746337890625;-5.211402893066406;-0.02050018310546875,-4.962831497192383;-0.024341583251953125;-3.411977767944336;-5.24352502822876;-0.009717941284179688;-4.867374420166016;-1.9949712753295898;-0.09824371337890625;-5.2139716148376465;-0.017116546630859375,0.0;-12.146217346191406;-11.684803009033203;-12.624156951904297;-7.191062927246094;-2.698179244995117;-21.849735260009766;-8.851726531982422;-10.061687469482422;-4.964578628540039,0.0;-3.225691318511963;-2.9663033485412598;-8.816953659057617;-1.7608709335327148;-5.6286396980285645;-8.321165084838867;-1.0991525650024414;-5.605222702026367;-1.0026588439941406
She is not restless. He too is quiet.,quiet-restless,n,mp,y,fm,-4.864307403564453;-0.108062744140625;-2.3530807495117188;-8.66861343383789;-0.00325775146484375;-1.9813079833984375;-0.6715583801269531;-0.10595703125;-3.633697509765625;-0.01007843017578125,-4.266115188598633;-0.026800155639648438;-2.990189552307129;-7.95391845703125;-0.012725830078125;-3.702054977416992;-2.643199920654297;-0.028728485107421875;-3.4446096420288086;-0.027765274047851562,0.0;-10.374752044677734;-12.17682933807373;-15.524223327636719;-3.1606082916259766;-3.872325897216797;-19.280960083007812;-5.720558166503906;-8.437854766845703;-4.889091491699219,0.0;-3.225691318511963;-2.9663033485412598;-13.717021942138672;-1.742659568786621;-5.3767499923706055;-7.999899387359619;-0.9597291946411133;-4.862753868103027;-1.0355329513549805
He is lucky. She too is lucky.,lucky-unlucky,y,pp,n,mf,-0.76788330078125;-0.34307861328125;-0.03570556640625;-0.002655029296875;-0.9966812133789062;-1.4160614013671875;-0.04546356201171875;-0.04631805419921875;-0.005706787109375,-1.2105731964111328;-0.1648273468017578;-0.022186279296875;-0.05563068389892578;-1.385885238647461;-4.035761833190918;-0.022027969360351562;-0.14142227172851562;-0.0191802978515625,0.0;-3.581737518310547;-10.732616424560547;-4.3806915283203125;-11.05331039428711;-14.555892944335938;-0.8528518676757812;-14.165473937988281;-3.236705780029297,0.0;-3.1556758880615234;-7.493511199951172;-2.89420223236084;-4.862730026245117;-7.598759174346924;-1.2591400146484375;-2.161102294921875;-0.8458614349365234
He is unlucky. She too is unlucky.,lucky-unlucky,y,mm,n,mf,-0.8155326843261719;-0.26903533935546875;-0.40563201904296875;-0.00446319580078125;-0.8162078857421875;-0.9827651977539062;-0.08174896240234375;-0.27490234375;-0.0066070556640625,-0.9429206848144531;-0.09407711029052734;-0.00116729736328125;-0.025213241577148438;-1.4369220733642578;-2.8331260681152344;-0.0335235595703125;-0.001216888427734375;-0.016706466674804688,0.0;-12.921688079833984;-24.97291374206543;-7.785942077636719;-2.6959075927734375;-16.89244842529297;-6.007802963256836;-35.35226058959961;-2.6897735595703125,0.0;-3.1556758880615234;-10.382997512817383;-2.331477165222168;-5.277560234069824;-7.319927215576172;-1.003152847290039;-1.5987920761108398;-0.7692060470581055
He is lucky. She too is unlucky.,lucky-unlucky,y,pm,n,mf,-2.0698089599609375;-0.3112640380859375;-1.4750823974609375;-0.00421905517578125;-1.2828369140625;-2.305583953857422;-0.18056488037109375;-5.969638824462891;-0.00696563720703125,-1.0331296920776367;-0.198944091796875;-0.3318653106689453;-0.045083045959472656;-1.405562400817871;-3.146082878112793;-0.045093536376953125;-0.016389846801757812;-0.014623641967773438,0.0;-9.378963470458984;-14.239896774291992;-3.141448974609375;-4.179527282714844;-21.56847381591797;-8.123046875;-27.997196197509766;-5.49090576171875,0.0;-3.1556758880615234;-7.493511199951172;-2.89420223236084;-4.862730026245117;-7.598759174346924;-1.2591400146484375;-5.270728588104248;-0.8194561004638672
He is unlucky. She too is lucky.,lucky-unlucky,y,mp,n,mf,-1.0026817321777344;-0.36484527587890625;-6.5310211181640625;-0.0066070556640625;-0.7498703002929688;-2.1888084411621094;-0.08901214599609375;-1.7289352416992188;-0.00823211669921875,-0.844635009765625;-0.2300710678100586;-0.02181243896484375;-0.03026580810546875;-1.325967788696289;-2.8369483947753906;-0.03749656677246094;-1.107839584350586;-0.01775360107421875,0.0;-9.269805908203125;-30.970394134521484;-4.663841247558594;-3.760265350341797;-20.312965393066406;-4.627058029174805;-17.57007598876953;-3.342254638671875,0.0;-3.1556758880615234;-10.382997512817383;-2.331477165222168;-5.277560234069824;-7.319927215576172;-1.003152847290039;-2.33481502532959;-0.9442958831787109
