sentence,adjectives,transparency,polarity,negation,gender,roberta_large_sentence_surprisal,bert_large_cased_sentence_surprisal,xlnet_large_cased_sentence_surprisal,gpt2_large_sentence_surprisal
"He is kind, and she is kind too.",kind-unkind,y,pp,n,mf,2.309875488,2.526077271,94.71048737,30.56145096
"He is unkind, and she is unkind too.",kind-unkind,y,mm,n,mf,1.911239624,2.995451927,134.842041,36.32458878
"He is kind, and she is unkind too.",kind-unkind,y,pm,n,mf,20.74711609,6.441473007,102.9157639,40.25642014
"He is unkind, and she is kind too.",kind-unkind,y,mp,n,mf,18.73877716,7.173067093,88.94224548,38.1516571
"He is not kind, and she is kind too.",kind-unkind,y,pp,y,mf,23.06772614,14.86366367,79.42048645,36.61051178
"He is not unkind, and she is unkind too.",kind-unkind,y,mm,y,mf,10.3434906,6.867313385,120.1790161,40.63150024
"He is not kind, and she is unkind too.",kind-unkind,y,pm,y,mf,11.71216583,8.691066742,107.2352676,39.90781021
"He is not unkind, and she is kind too.",kind-unkind,y,mp,y,mf,12.03343582,7.003222466,100.2578583,39.90860748
"She is kind, and he is kind too.",kind-unkind,y,pp,n,fm,2.54429245,2.876680374,93.4341507,30.28911591
"She is unkind, and he is unkind too.",kind-unkind,y,mm,n,fm,2.166107178,3.278061867,141.7371063,36.34794617
"She is kind, and he is unkind too.",kind-unkind,y,pm,n,fm,21.64570618,8.096069336,106.364151,40.31698227
"She is unkind, and he is kind too.",kind-unkind,y,mp,n,fm,21.07165146,7.484857559,94.33908081,38.27561188
"She is not kind, and he is kind too.",kind-unkind,y,pp,y,fm,24.27748108,16.03972244,87.33501434,37.62976456
"She is not unkind, and he is unkind too.",kind-unkind,y,mm,y,fm,10.06240082,7.046252251,117.8947601,41.12742233
"She is not kind, and he is unkind too.",kind-unkind,y,pm,y,fm,13.30509567,10.14186382,104.0080872,41.55132675
"She is not unkind, and he is kind too.",kind-unkind,y,mp,y,fm,13.29853821,7.443104744,102.7074051,39.93654251
"He is kind, and she is kind too.",kind-mean,n,pp,n,mf,2.309875488,2.526077271,94.71048737,30.56145096
"He is mean, and she is mean too.",kind-mean,n,mm,n,mf,2.890205383,3.400932312,96.67262268,32.46552277
"He is kind, and she is mean too.",kind-mean,n,pm,n,mf,33.6265831,22.48511124,99.46396637,38.21703339
"He is mean, and she is kind too.",kind-mean,n,mp,n,mf,30.813591,19.42876339,85.2204361,36.32845688
"He is not kind, and she is kind too.",kind-mean,n,pp,y,mf,23.06772614,14.86366367,79.42048645,36.61051178
"He is not mean, and she is mean too.",kind-mean,n,mm,y,mf,19.62675858,15.45254326,84.75169373,38.74534607
"He is not kind, and she is mean too.",kind-mean,n,pm,y,mf,21.75324249,24.10889244,91.82600403,39.8585701
"He is not mean, and she is kind too.",kind-mean,n,mp,y,mf,18.38566208,21.50089359,91.57237244,38.32235718
"She is kind, and he is kind too.",kind-mean,n,pp,n,fm,2.54429245,2.876680374,93.4341507,30.28911591
"She is mean, and he is mean too.",kind-mean,n,mm,n,fm,3.393596649,3.555778503,93.19859314,32.48365784
"She is kind, and he is mean too.",kind-mean,n,pm,n,fm,35.21438599,24.56346607,92.79734802,37.84978485
"She is mean, and he is kind too.",kind-mean,n,mp,n,fm,31.82849884,18.55245686,80.80764771,36.2673378
"She is not kind, and he is kind too.",kind-mean,n,pp,y,fm,24.27748108,16.03972244,87.33501434,37.62976456
"She is not mean, and he is mean too.",kind-mean,n,mm,y,fm,20.12098694,15.4180069,85.49863434,40.01617432
"She is not kind, and he is mean too.",kind-mean,n,pm,y,fm,23.82577896,25.76719189,91.40337372,41.14520264
"She is not mean, and he is kind too.",kind-mean,n,mp,y,fm,19.86537552,21.28957176,84.69855499,39.50084686
"He is kind, and she is kind too.",kind-nasty,n,pp,n,mf,2.309875488,2.526077271,94.71048737,30.56145096
"He is nasty, and she is nasty too.",kind-nasty,n,mm,n,mf,3.18321991,3.869958878,98.01635742,33.58109665
"He is kind, and she is nasty too.",kind-nasty,n,pm,n,mf,37.97147751,27.90199709,93.961586,38.4422493
"He is nasty, and she is kind too.",kind-nasty,n,mp,n,mf,38.64945602,23.30058956,99.7179184,37.38908005
"He is not kind, and she is kind too.",kind-nasty,n,pp,y,mf,23.06772614,14.86366367,79.42048645,36.61051178
"He is not nasty, and she is nasty too.",kind-nasty,n,mm,y,mf,24.00853729,19.62136078,83.22418213,41.96378326
"He is not kind, and she is nasty too.",kind-nasty,n,pm,y,mf,25.97454453,27.63488007,94.54420471,40.21924973
"He is not nasty, and she is kind too.",kind-nasty,n,mp,y,mf,23.97506332,28.36710596,92.91688538,41.89302826
"She is kind, and he is kind too.",kind-nasty,n,pp,n,fm,2.54429245,2.876680374,93.4341507,30.28911591
"She is nasty, and he is nasty too.",kind-nasty,n,mm,n,fm,3.543228149,4.676496506,94.3176651,33.05947495
"She is kind, and he is nasty too.",kind-nasty,n,pm,n,fm,39.81313324,28.63372612,96.44745636,38.26949692
"She is nasty, and he is kind too.",kind-nasty,n,mp,n,fm,39.80000687,22.88704109,93.77604675,37.17854691
"She is not kind, and he is kind too.",kind-nasty,n,pp,y,fm,24.27748108,16.03972244,87.33501434,37.62976456
"She is not nasty, and he is nasty too.",kind-nasty,n,mm,y,fm,25.13703156,20.18488121,96.8603363,42.50745773
"She is not kind, and he is nasty too.",kind-nasty,n,pm,y,fm,26.85026169,29.33342075,93.51400757,41.6743927
"She is not nasty, and he is kind too.",kind-nasty,n,mp,y,fm,24.7817688,27.89794445,90.02694702,41.91585922
"He is friendly, and she is friendly too.",friendly-nasty,n,pp,n,mf,1.902153015,3.601746559,93.42929077,31.56535339
"He is nasty, and she is nasty too.",friendly-nasty,n,mm,n,mf,3.18321991,3.869958878,98.01635742,33.58109665
"He is friendly, and she is nasty too.",friendly-nasty,n,pm,n,mf,36.87049484,26.59671307,96.24691772,39.0349884
"He is nasty, and she is friendly too.",friendly-nasty,n,mp,n,mf,34.28119278,25.7962513,109.97155,39.27019882
"He is not friendly, and she is friendly too.",friendly-nasty,n,pp,y,mf,20.95246506,19.89475918,93.5955658,37.58647919
"He is not nasty, and she is nasty too.",friendly-nasty,n,mm,y,mf,24.00853729,19.62136078,83.22418213,41.96378326
"He is not friendly, and she is nasty too.",friendly-nasty,n,pm,y,mf,25.11766815,29.29512596,96.40241241,40.88516617
"He is not nasty, and she is friendly too.",friendly-nasty,n,mp,y,mf,23.84801483,30.23374653,98.43481445,42.92993164
"She is friendly, and he is friendly too.",friendly-nasty,n,pp,n,fm,2.047119141,3.824202538,101.1218262,31.4425354
"She is nasty, and he is nasty too.",friendly-nasty,n,mm,n,fm,3.543228149,4.676496506,94.3176651,33.05947495
"She is friendly, and he is nasty too.",friendly-nasty,n,pm,n,fm,38.81131363,27.3628273,103.0812836,38.9871521
"She is nasty, and he is friendly too.",friendly-nasty,n,mp,n,fm,34.13231659,26.0219326,109.4368134,39.2130127
"She is not friendly, and he is friendly too.",friendly-nasty,n,pp,y,fm,21.27485275,19.79315519,96.14214325,37.07261658
"She is not nasty, and he is nasty too.",friendly-nasty,n,mm,y,fm,25.13703156,20.18488121,96.8603363,42.50745773
"She is not friendly, and he is nasty too.",friendly-nasty,n,pm,y,fm,26.17119217,30.11017132,91.49876404,40.96827316
"She is not nasty, and he is friendly too.",friendly-nasty,n,mp,y,fm,24.0186882,30.66875029,95.1532135,42.99338531
"He is friendly, and she is friendly too.",friendly-mean,n,pp,n,mf,1.902153015,3.601746559,93.42929077,31.56535339
"He is mean, and she is mean too.",friendly-mean,n,mm,n,mf,2.890205383,3.400932312,96.67262268,32.46552277
"He is friendly, and she is mean too.",friendly-mean,n,pm,n,mf,40.15234375,27.89532852,96.42802429,38.93336868
"He is mean, and she is friendly too.",friendly-mean,n,mp,n,mf,34.36138535,28.09135246,98.40180206,39.07393646
"He is not friendly, and she is friendly too.",friendly-mean,n,pp,y,mf,20.95246506,19.89475918,93.5955658,37.58647919
"He is not mean, and she is mean too.",friendly-mean,n,mm,y,mf,19.62675858,15.45254326,84.75169373,38.74534607
"He is not friendly, and she is mean too.",friendly-mean,n,pm,y,mf,25.66260147,30.08389425,91.55857849,41.35417938
"He is not mean, and she is friendly too.",friendly-mean,n,mp,y,mf,21.39019012,27.58366394,92.51651764,40.95933533
"She is friendly, and he is friendly too.",friendly-mean,n,pp,n,fm,2.047119141,3.824202538,101.1218262,31.4425354
"She is mean, and he is mean too.",friendly-mean,n,mm,n,fm,3.393596649,3.555778503,93.19859314,32.48365784
"She is friendly, and he is mean too.",friendly-mean,n,pm,n,fm,41.65818024,29.74569607,100.2256775,38.40186691
"She is mean, and he is friendly too.",friendly-mean,n,mp,n,fm,34.42781067,27.39318562,94.89468384,39.09566498
"She is not friendly, and he is friendly too.",friendly-mean,n,pp,y,fm,21.27485275,19.79315519,96.14214325,37.07261658
"She is not mean, and he is mean too.",friendly-mean,n,mm,y,fm,20.12098694,15.4180069,85.49863434,40.01617432
"She is not friendly, and he is mean too.",friendly-mean,n,pm,y,fm,27.31121445,30.8074131,86.67390442,40.80831909
"She is not mean, and he is friendly too.",friendly-mean,n,mp,y,fm,22.36200333,28.0042429,91.56178284,41.89081192
"He is friendly, and she is friendly too.",friendly-unfriendly,y,pp,n,mf,1.902153015,3.601746559,93.42929077,31.56535339
"He is unfriendly, and she is unfriendly too.",friendly-unfriendly,y,mm,n,mf,1.268608093,2.824170113,133.8727112,37.28028107
"He is friendly, and she is unfriendly too.",friendly-unfriendly,y,pm,n,mf,17.78741455,6.680410385,112.8515549,38.47710419
"He is unfriendly, and she is friendly too.",friendly-unfriendly,y,mp,n,mf,11.32112122,10.87758255,122.9721527,39.70059967
"He is not friendly, and she is friendly too.",friendly-unfriendly,y,pp,y,mf,20.95246506,19.89475918,93.5955658,37.58647919
"He is not unfriendly, and she is unfriendly too.",friendly-unfriendly,y,mm,y,mf,10.18240356,8.136047363,136.9646912,41.3609848
"He is not friendly, and she is unfriendly too.",friendly-unfriendly,y,pm,y,mf,3.453018188,11.58806992,110.4095154,39.7651062
"He is not unfriendly, and she is friendly too.",friendly-unfriendly,y,mp,y,mf,7.879386902,19.00631475,115.4954376,39.07268906
"She is friendly, and he is friendly too.",friendly-unfriendly,y,pp,n,fm,2.047119141,3.824202538,101.1218262,31.4425354
"She is unfriendly, and he is unfriendly too.",friendly-unfriendly,y,mm,n,fm,1.333747864,3.024435043,139.7637634,37.74503326
"She is friendly, and he is unfriendly too.",friendly-unfriendly,y,pm,n,fm,20.48274612,7.984511375,127.4930115,38.75642395
"She is unfriendly, and he is friendly too.",friendly-unfriendly,y,mp,n,fm,11.67815781,11.30928707,116.3296051,39.92002106
"She is not friendly, and he is friendly too.",friendly-unfriendly,y,pp,y,fm,21.27485275,19.79315519,96.14214325,37.07261658
"She is not unfriendly, and he is unfriendly too.",friendly-unfriendly,y,mm,y,fm,9.818447113,8.256848335,131.3085327,41.73088837
"She is not friendly, and he is unfriendly too.",friendly-unfriendly,y,pm,y,fm,3.560173035,13.38715744,109.4755096,39.93873978
"She is not unfriendly, and he is friendly too.",friendly-unfriendly,y,mp,y,fm,8.902389526,19.13576365,112.7902527,39.08383942
"He is good, and she is good too.",good-bad,n,pp,n,mf,2.237678528,3.080572128,100.5964813,27.77148438
"He is bad, and she is bad too.",good-bad,n,mm,n,mf,2.063076019,3.160143852,88.68681335,29.60952377
"He is good, and she is bad too.",good-bad,n,pm,n,mf,29.20353699,13.49992275,92.73121643,32.00276184
"He is bad, and she is good too.",good-bad,n,mp,n,mf,25.17686462,13.27265167,99.7048645,31.12309647
"He is not good, and she is good too.",good-bad,n,pp,y,mf,22.89423752,15.08294392,80.25761414,33.49409866
"He is not bad, and she is bad too.",good-bad,n,mm,y,mf,14.40967178,11.68448734,77.24242401,35.24087143
"He is not good, and she is bad too.",good-bad,n,pm,y,mf,5.421417236,12.48471737,86.1108017,35.25737381
"He is not bad, and she is good too.",good-bad,n,mp,y,mf,12.96106339,8.419425964,92.18177795,33.33267975
"She is good, and he is good too.",good-bad,n,pp,n,fm,2.522003174,3.052406311,90.27179718,27.58352852
"She is bad, and he is bad too.",good-bad,n,mm,n,fm,2.363693237,3.307939529,88.78559113,29.89278412
"She is good, and he is bad too.",good-bad,n,pm,n,fm,28.69145584,13.22843552,90.147995,31.34082603
"She is bad, and he is good too.",good-bad,n,mp,n,fm,27.03802109,13.40932083,101.5180206,31.76888657
"She is not good, and he is good too.",good-bad,n,pp,y,fm,23.94200897,14.97914314,78.61877441,33.87737274
"She is not bad, and he is bad too.",good-bad,n,mm,y,fm,15.17652512,11.53802967,78.67914581,36.36783218
"She is not good, and he is bad too.",good-bad,n,pm,y,fm,5.675544739,13.06223965,78.513237,35.63016891
"She is not bad, and he is good too.",good-bad,n,mp,y,fm,13.98633194,8.668941498,86.91150665,35.01964951
"He is strong, and she is strong too.",strong-weak,n,pp,n,mf,2.21774292,2.164951324,97.40028381,26.85055161
"He is weak, and she is weak too.",strong-weak,n,mm,n,mf,1.504890442,2.522623062,90.00467682,32.24417114
"He is strong, and she is weak too.",strong-weak,n,pm,n,mf,26.36341476,10.15200138,92.0380249,32.02466583
"He is weak, and she is strong too.",strong-weak,n,mp,n,mf,24.00952911,11.79510212,96.67530823,32.0919342
"He is not strong, and she is strong too.",strong-weak,n,pp,y,mf,23.19768143,14.82797909,84.16157532,33.41641998
"He is not weak, and she is weak too.",strong-weak,n,mm,y,mf,18.68439484,9.939842224,80.32704926,36.68857574
"He is not strong, and she is weak too.",strong-weak,n,pm,y,mf,7.823425293,8.755223274,86.16687012,35.78213882
"He is not weak, and she is strong too.",strong-weak,n,mp,y,mf,13.51826096,7.943101883,95.83021545,35.71577454
"She is strong, and he is strong too.",strong-weak,n,pp,n,fm,2.413330078,2.186029434,91.87680054,26.48442459
"She is weak, and he is weak too.",strong-weak,n,mm,n,fm,1.612983704,2.443209648,94.49127197,31.29343414
"She is strong, and he is weak too.",strong-weak,n,pm,n,fm,27.36597061,10.18990517,101.3551865,30.96200562
"She is weak, and he is strong too.",strong-weak,n,mp,n,fm,25.23606873,11.358428,107.0194244,30.48523712
"She is not strong, and he is strong too.",strong-weak,n,pp,y,fm,22.84475708,14.6963501,87.93545532,33.0940361
"She is not weak, and he is weak too.",strong-weak,n,mm,y,fm,18.93494797,9.335511208,80.82533264,36.80812073
"She is not strong, and he is weak too.",strong-weak,n,pm,y,fm,9.315071106,8.598139763,85.91873169,36.37469482
"She is not weak, and he is strong too.",strong-weak,n,mp,y,fm,15.6987114,7.320542336,80.81747437,36.0671196
"He is polite, and she is polite too.",polite-rude,n,pp,n,mf,1.780380249,2.517020226,105.0659027,31.0515976
"He is rude, and she is rude too.",polite-rude,n,mm,n,mf,2.880142212,3.374222755,89.02453613,33.5228157
"He is polite, and she is rude too.",polite-rude,n,pm,n,mf,32.88365173,15.88410425,105.1052704,36.87117386
"He is rude, and she is polite too.",polite-rude,n,mp,n,mf,29.88392639,14.53411102,95.75379181,36.90599442
"He is not polite, and she is polite too.",polite-rude,n,pp,y,mf,24.37023544,15.48575497,95.38967896,37.0639801
"He is not rude, and she is rude too.",polite-rude,n,mm,y,mf,20.16109085,17.23177814,94.76014709,39.5465889
"He is not polite, and she is rude too.",polite-rude,n,pm,y,mf,19.55696106,14.63361454,90.69525146,37.51849365
"He is not rude, and she is polite too.",polite-rude,n,mp,y,mf,16.81371307,19.72790956,86.52132416,37.47588348
"She is polite, and he is polite too.",polite-rude,n,pp,n,fm,1.97832489,2.493560791,102.0400085,30.66213417
"She is rude, and he is rude too.",polite-rude,n,mm,n,fm,3.414306641,3.717267036,88.97981262,32.23435211
"She is polite, and he is rude too.",polite-rude,n,pm,n,fm,34.56590271,16.17400694,99.58169556,35.93091583
"She is rude, and he is polite too.",polite-rude,n,mp,n,fm,31.14565659,14.54752827,99.33992004,35.74340439
"She is not polite, and he is polite too.",polite-rude,n,pp,y,fm,25.69750595,15.59620667,100.7699127,36.57269669
"She is not rude, and he is rude too.",polite-rude,n,mm,y,fm,22.09619904,17.01264524,92.54316711,38.88230515
"She is not polite, and he is rude too.",polite-rude,n,pm,y,fm,20.59553146,15.37037659,95.78439331,36.8357048
"She is not rude, and he is polite too.",polite-rude,n,mp,y,fm,17.67632675,20.10472965,90.21801758,37.22822571
"He is polite, and she is polite too.",polite-impolite,y,pp,n,mf,1.780380249,2.517020226,105.0659027,31.0515976
"He is impolite, and she is impolite too.",polite-impolite,y,mm,n,mf,2.265453339,2.678825378,158.4760742,36.13434601
"He is polite, and she is impolite too.",polite-impolite,y,pm,n,mf,24.24918365,11.61336327,136.1321411,40.9157486
"He is impolite, and she is polite too.",polite-impolite,y,mp,n,mf,22.71263123,12.41311932,126.8594437,40.0386734
"He is not polite, and she is polite too.",polite-impolite,y,pp,y,mf,24.37023544,15.48575497,95.38967896,37.0639801
"He is not impolite, and she is impolite too.",polite-impolite,y,mm,y,mf,9.326156616,9.588680267,165.1992798,41.17395401
"He is not polite, and she is impolite too.",polite-impolite,y,pm,y,mf,19.138237,19.16109371,132.3136292,42.56123352
