sentence,adjectives,transparency,polarity,negation,gender,gpt2_large_surprisal,xlnet_large_cased_surprisal,bert_large_cased_surprisal,roberta_large_surprisal
He is restless means that he is quiet.,quiet-restless,n,mp,n,mf,0.0;-3.1556758880615234;-11.135445594787598;-12.826828002929688;-1.2720527648925781;-0.37076282501220703;-0.9734172821044922;-8.340802192687988;-1.8850736618041992,0.0;-5.749271392822266;-6.123874664306641;-9.509220123291016;-5.4741058349609375;-8.682405471801758;-6.391696929931641;-7.808252334594727;-5.569557189941406,-0.33846378326416016;-0.3263273239135742;-7.093667984008789;-8.182551383972168;-0.17460250854492188;-0.12358856201171875;-0.1495676040649414;-6.912632942199707;-0.0326080322265625,-0.6928977966308594;-0.9473686218261719;-9.237808227539062;-10.828487396240234;-0.06949615478515625;-0.0479583740234375;-0.1811981201171875;-8.602764129638672;-0.06160736083984375
He is not quiet means that he is quiet.,quiet-restless,n,pp,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-8.730759620666504;-11.525774955749512;-1.5718879699707031;-0.6378383636474609;-0.8685731887817383;-4.130208969116211;-1.8109683990478516,0.0;-5.582550048828125;-3.268789529800415;-9.952547073364258;-9.101104736328125;-6.842258453369141;-8.358022689819336;-4.7111358642578125;-6.886196136474609;-5.484501838684082,-2.020984649658203;-0.1050262451171875;-2.8495473861694336;-1.3068275451660156;-7.912110328674316;-0.4591684341430664;-0.19423866271972656;-0.05894184112548828;-1.8225479125976562;-0.11114501953125,-0.42981719970703125;-0.5430374145507812;-2.0367393493652344;-2.3706321716308594;-8.358818054199219;-0.068634033203125;-0.151580810546875;-0.06982421875;-3.6182289123535156;-0.1640777587890625
He is not restless means that he is restless.,quiet-restless,n,mm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-13.893153190612793;-12.565669059753418;-1.2321748733520508;-0.3324117660522461;-0.8443479537963867;-6.48569393157959;-2.585390090942383,0.0;-4.137912750244141;-3.7894935607910156;-13.31875228881836;-9.982154846191406;-4.323749542236328;-6.823211669921875;-5.721881866455078;-15.568958282470703;-5.216442108154297,-0.877436637878418;-0.06553173065185547;-3.3012590408325195;-2.533738136291504;-6.406821250915527;-0.4684000015258789;-0.2319498062133789;-0.090484619140625;-5.0595550537109375;-0.10844802856445312,-1.6424407958984375;-0.3328399658203125;-1.4119186401367188;-2.329631805419922;-7.968868255615234;-0.377593994140625;-0.18094635009765625;-0.06707000732421875;-1.8977737426757812;-0.1161041259765625
He is not quiet means that he is restless.,quiet-restless,n,pm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-8.730759620666504;-11.525774955749512;-1.5718879699707031;-0.6378383636474609;-0.8685731887817383;-7.993222236633301;-1.3831901550292969,0.0;-4.115938186645508;-2.024120330810547;-9.55481243133545;-8.678468704223633;-10.916496276855469;-4.861916542053223;-5.3642578125;-7.942684173583984;-4.388039588928223,-0.835662841796875;-0.180450439453125;-4.818692207336426;-3.7866578102111816;-6.4713263511657715;-0.23117542266845703;-0.01565265655517578;-0.09994697570800781;-5.638596534729004;-0.03769683837890625,-0.6274490356445312;-0.21469879150390625;-1.8819084167480469;-6.474399566650391;-7.3865966796875;-0.38956451416015625;-0.02251434326171875;-0.0392303466796875;-7.788818359375;-0.08362579345703125
He is not restless means that he is quiet.,quiet-restless,n,mp,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-13.893153190612793;-12.565669059753418;-1.2321748733520508;-0.3324117660522461;-0.8443479537963867;-5.628485202789307;-1.5090103149414062,0.0;-0.8889579772949219;-4.699672698974609;-10.544197082519531;-11.188907623291016;-5.837646484375;-8.424880981445312;-5.033393859863281;-9.738998413085938;-6.220998764038086,-0.1268138885498047;-0.0459442138671875;-4.151790618896484;-7.578615665435791;-7.763931751251221;-0.22735595703125;-0.056946754455566406;-0.11455440521240234;-3.2628278732299805;-0.05873870849609375,-0.42777252197265625;-0.152374267578125;-1.1364517211914062;-11.538406372070312;-8.02264404296875;-0.284881591796875;-0.023284912109375;-0.06008148193359375;-5.698230743408203;-0.08313751220703125
She is quiet means that she is quiet.,quiet-restless,n,pp,n,fm,0.0;-3.225691318511963;-8.172981262207031;-12.54925537109375;-1.5378408432006836;-0.8306741714477539;-1.1935558319091797;-4.2051897048950195;-1.6868200302124023,0.0;-7.229894638061523;-2.666700839996338;-8.502084732055664;-6.037425994873047;-6.127885818481445;-5.15699577331543;-4.246109962463379;-7.481504440307617,-1.0588722229003906;-3.595698356628418;-0.903782844543457;-8.387099266052246;-0.5214443206787109;-0.6052227020263672;-0.07190132141113281;-2.8159027099609375;-0.07712936401367188,-0.25341033935546875;-0.5125961303710938;-2.0348854064941406;-7.899417877197266;-0.08185577392578125;-0.22267913818359375;-0.0983123779296875;-3.4999122619628906;-0.11798858642578125
She is restless means that she is restless.,quiet-restless,n,mm,n,fm,0.0;-3.225691318511963;-10.916446685791016;-12.852407455444336;-1.3866901397705078;-0.4179220199584961;-1.2769756317138672;-2.424236297607422;-1.903787612915039,0.0;-5.353492736816406;-11.087827682495117;-10.854013442993164;-2.50579833984375;-7.8022613525390625;-4.813957214355469;-13.062084197998047;-4.238016128540039,-0.6556882858276367;-0.8493480682373047;-1.2947702407836914;-5.262356758117676;-0.3584566116333008;-0.5658426284790039;-0.11837482452392578;-1.6191511154174805;-0.09060287475585938,-0.5800323486328125;-0.38599395751953125;-1.3241081237792969;-8.949836730957031;-0.08264923095703125;-0.21184539794921875;-0.13037109375;-1.5016136169433594;-0.11206817626953125
She is quiet means that she is restless.,quiet-restless,n,pm,n,fm,0.0;-3.225691318511963;-8.172981262207031;-12.54925537109375;-1.5378408432006836;-0.8306741714477539;-1.1935558319091797;-9.58915901184082;-1.3289403915405273,0.0;-6.275651454925537;-3.2138173580169678;-7.940511703491211;-8.5411376953125;-9.22389030456543;-6.679266929626465;-11.940168380737305;-6.055194854736328,-0.6911430358886719;-6.2198333740234375;-4.091733455657959;-6.638524055480957;-0.1402883529663086;-0.014792442321777344;-0.11838150024414062;-6.1849517822265625;-0.024105072021484375,-0.343902587890625;-1.4928436279296875;-7.502132415771484;-7.695552825927734;-0.0333251953125;-0.041900634765625;-0.05121612548828125;-7.730476379394531;-0.0659332275390625
She is restless means that she is quiet.,quiet-restless,n,mp,n,fm,0.0;-3.225691318511963;-10.916446685791016;-12.852407455444336;-1.3866901397705078;-0.4179220199584961;-1.2769756317138672;-8.132810592651367;-1.807328224182129,0.0;-7.563810348510742;-6.134006500244141;-9.328314781188965;-6.387031555175781;-10.053279876708984;-8.034019470214844;-8.148111343383789;-5.077463150024414,-0.27962398529052734;-0.37577056884765625;-7.1971893310546875;-8.51538372039795;-0.202911376953125;-0.1258068084716797;-0.154388427734375;-6.597812652587891;-0.03186225891113281,-0.387939453125;-0.5951118469238281;-9.332954406738281;-11.118938446044922;-0.0539703369140625;-0.04842376708984375;-0.2162628173828125;-8.71063232421875;-0.0572357177734375
She is not quiet means that she is quiet.,quiet-restless,n,pp,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-8.816953659057617;-11.555267333984375;-1.5086851119995117;-0.6436977386474609;-0.9406147003173828;-4.249730587005615;-1.7449092864990234,0.0;-6.410320281982422;-4.336800575256348;-11.479081153869629;-8.411392211914062;-7.164266586303711;-9.317361831665039;-4.199649810791016;-8.920087814331055;-4.865811347961426,-1.3802385330200195;-0.1798534393310547;-2.83413028717041;-1.457880973815918;-8.185419082641602;-0.5052118301391602;-0.21616363525390625;-0.07249641418457031;-1.98583984375;-0.10774612426757812,-0.24614715576171875;-0.5478973388671875;-2.0359573364257812;-2.437519073486328;-8.403060913085938;-0.04892730712890625;-0.13089752197265625;-0.066253662109375;-3.6684913635253906;-0.15985107421875
She is not restless means that she is restless.,quiet-restless,n,mm,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-13.717021942138672;-12.806142807006836;-1.2873210906982422;-0.3772010803222656;-0.9640951156616211;-6.4654340744018555;-2.0703964233398438,0.0;-3.432353973388672;-3.4393348693847656;-13.027342796325684;-11.127643585205078;-6.432411193847656;-7.881309509277344;-5.876667022705078;-11.576448440551758;-4.969841957092285,-0.6560754776000977;-0.07823753356933594;-3.359858512878418;-3.1338090896606445;-6.546866416931152;-0.5309963226318359;-0.3554725646972656;-0.10489273071289062;-5.541962623596191;-0.11122894287109375,-0.6300888061523438;-0.26544189453125;-1.6977920532226562;-2.574871063232422;-8.11138916015625;-0.50994873046875;-0.29605865478515625;-0.06095123291015625;-2.1416893005371094;-0.119293212890625
She is not quiet means that she is restless.,quiet-restless,n,pm,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-8.816953659057617;-11.555267333984375;-1.5086851119995117;-0.6436977386474609;-0.9406147003173828;-7.959565162658691;-1.3830833435058594,0.0;-5.43658447265625;-3.1980953216552734;-7.572601318359375;-8.449325561523438;-10.332500457763672;-5.013586044311523;-4.964591979980469;-6.095102310180664;-3.9475345611572266,-0.5847320556640625;-0.23000717163085938;-4.740238189697266;-3.8383865356445312;-6.960558891296387;-0.2535219192504883;-0.01925182342529297;-0.09831523895263672;-5.70874547958374;-0.0375518798828125,-0.22198486328125;-0.16986083984375;-1.3307151794433594;-6.4692535400390625;-7.621795654296875;-0.39127349853515625;-0.0224151611328125;-0.0353851318359375;-7.9955291748046875;-0.0802459716796875
She is not restless means that she is quiet.,quiet-restless,n,mp,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-13.717021942138672;-12.806142807006836;-1.2873210906982422;-0.3772010803222656;-0.9640951156616211;-5.703170299530029;-1.531747817993164,0.0;-1.27911376953125;-4.908317565917969;-11.279373168945312;-11.221214294433594;-5.0177459716796875;-9.359848022460938;-4.172355651855469;-9.619400024414062;-6.101161956787109,-0.12749958038330078;-0.05042457580566406;-3.991175651550293;-7.848631381988525;-8.15826416015625;-0.2673969268798828;-0.04364490509033203;-0.12174129486083984;-3.2167320251464844;-0.054931640625,-0.18253326416015625;-0.11528778076171875;-0.9608688354492188;-11.72835922241211;-8.354286193847656;-0.32274627685546875;-0.0209808349609375;-0.05267333984375;-5.495513916015625;-0.071533203125
He is lucky means that he is lucky.,lucky-unlucky,y,pp,n,mf,0.0;-3.1556758880615234;-7.493511199951172;-13.24857234954834;-1.7391605377197266;-0.929469108581543;-1.5052013397216797;-3.3955788612365723;-1.8738117218017578,0.0;-5.017192840576172;-13.514488220214844;-10.560976028442383;-2.2938270568847656;-4.4236602783203125;-5.013446807861328;-13.3800048828125;-5.771568298339844,-0.7602138519287109;-0.4135913848876953;-1.3150959014892578;-6.677800178527832;-0.14142894744873047;-0.46610355377197266;-0.18544483184814453;-1.1420860290527344;-0.1542530059814453,-0.817596435546875;-1.2366867065429688;-1.9409027099609375;-11.030723571777344;-0.091583251953125;-0.593536376953125;-0.137542724609375;-2.7247276306152344;-0.15277099609375
He is unlucky means that he is unlucky.,lucky-unlucky,y,mm,n,mf,0.0;-3.1556758880615234;-10.382997512817383;-12.213202476501465;-1.4104681015014648;-0.8412561416625977;-1.3342580795288086;-2.56292724609375;-1.4872665405273438,0.0;-4.673923492431641;-34.051239013671875;-10.194923400878906;-2.9515533447265625;-5.121192932128906;-7.2868194580078125;-33.69306945800781;-5.004570007324219,-1.1536073684692383;-0.5320463180541992;-0.036083221435546875;-5.717541694641113;-0.203155517578125;-0.7230939865112305;-0.17344951629638672;-0.03423595428466797;-0.17974853515625,-1.1526603698730469;-0.7280998229980469;-2.1714935302734375;-8.182201385498047;-0.04148101806640625;-0.25494384765625;-0.10768890380859375;-1.9038581848144531;-0.14356231689453125
He is lucky means that he is unlucky.,lucky-unlucky,y,pm,n,mf,0.0;-3.1556758880615234;-7.493511199951172;-13.24857234954834;-1.7391605377197266;-0.929469108581543;-1.5052013397216797;-6.579219341278076;-1.4446334838867188,0.0;-5.534904479980469;-12.688459396362305;-10.832037925720215;-3.762798309326172;-4.502193450927734;-6.551616668701172;-28.388526916503906;-3.6242942810058594,-1.5517759323120117;-1.5195112228393555;-1.41827392578125;-7.423253059387207;-0.13777446746826172;-0.4120521545410156;-0.07121562957763672;-0.04152393341064453;-0.09699821472167969,-1.2307052612304688;-0.9358100891113281;-3.3331336975097656;-10.303104400634766;-0.04395294189453125;-1.1191482543945312;-0.10150909423828125;-3.7551345825195312;-0.1593475341796875
He is unlucky means that he is lucky.,lucky-unlucky,y,mp,n,mf,0.0;-3.1556758880615234;-10.382997512817383;-12.213202476501465;-1.4104681015014648;-0.8412561416625977;-1.3342580795288086;-4.064088821411133;-1.8094758987426758,0.0;-4.165012359619141;-22.088775634765625;-9.620109558105469;-2.8794517517089844;-5.908939361572266;-6.136360168457031;-9.902080535888672;-5.589817047119141,-1.8691167831420898;-0.9580163955688477;-0.30271434783935547;-8.383646965026855;-0.13217639923095703;-0.2862730026245117;-0.25212669372558594;-1.5054025650024414;-0.10885429382324219,-1.0263748168945312;-1.2869796752929688;-3.994293212890625;-8.694538116455078;-0.0294189453125;-0.8035659790039062;-0.09035491943359375;-4.2105255126953125;-0.16300201416015625
